Parameter,Category,Fraction,Count
params_cnn_dense_0_act,elu,0.7143,5
params_cnn_dense_0_act,relu,0.1429,1
params_cnn_dense_0_act,silu,0.1429,1
params_cnn_dense_1_act,relu,0.4286,3
params_cnn_dense_1_act,tanh,0.2857,2
params_cnn_dense_1_act,silu,0.1429,1
params_cnn_dense_1_act,gelu,0.1429,1
params_cnn_dense_2_act,relu,0.75,3
params_cnn_dense_2_act,elu,0.25,1
params_conv1d_0_act,silu,0.25,4
params_conv1d_0_act,relu,0.25,4
params_conv1d_0_act,none,0.25,4
params_conv1d_0_act,sigmoid,0.125,2
params_conv1d_0_act,tanh,0.125,2
params_conv1d_1_act,none,0.5,8
params_conv1d_1_act,tanh,0.1875,3
params_conv1d_1_act,elu,0.125,2
params_conv1d_1_act,gelu,0.125,2
params_conv1d_1_act,silu,0.0625,1
params_conv1d_2_act,relu,0.5714,8
params_conv1d_2_act,tanh,0.2857,4
params_conv1d_2_act,elu,0.1429,2
params_conv1d_3_act,gelu,0.4444,4
params_conv1d_3_act,relu,0.4444,4
params_conv1d_3_act,elu,0.1111,1
params_dense_0_act,tanh,0.375,3
params_dense_0_act,elu,0.25,2
params_dense_0_act,none,0.125,1
params_dense_0_act,relu,0.125,1
params_dense_0_act,sigmoid,0.125,1
params_dense_1_act,relu,0.375,3
params_dense_1_act,none,0.25,2
params_dense_1_act,tanh,0.25,2
params_dense_1_act,gelu,0.125,1
params_dense_2_act,gelu,0.6667,4
params_dense_2_act,silu,0.1667,1
params_dense_2_act,tanh,0.1667,1
params_optimizer,adam,0.5625,9
params_optimizer,adamw,0.25,4
params_optimizer,lion,0.125,2
params_optimizer,rmsprop,0.0625,1
params_pooling_type,max,0.5,8
params_pooling_type,flatten,0.4375,7
params_pooling_type,average,0.0625,1
params_use_cnn_as_dense,False,0.5625,9
params_use_cnn_as_dense,True,0.4375,7
