Parameter,Category,Fraction,Count
params_cnn_dense_0_act,elu,0.5,1
params_cnn_dense_0_act,relu,0.5,1
params_cnn_dense_1_act,tanh,0.5,1
params_cnn_dense_1_act,silu,0.5,1
params_conv1d_0_act,silu,0.6667,2
params_conv1d_0_act,relu,0.3333,1
params_conv1d_1_act,tanh,0.6667,2
params_conv1d_1_act,elu,0.3333,1
params_conv1d_2_act,elu,1.0,1
params_conv1d_3_act,relu,1.0,1
params_optimizer,lion,0.6667,2
params_optimizer,adamw,0.3333,1
params_pooling_type,max,0.6667,2
params_pooling_type,flatten,0.3333,1
params_use_cnn_as_dense,True,0.6667,2
params_use_cnn_as_dense,False,0.3333,1
