Parameter,Category,Fraction,Count
params_conv2d_block_0_activation,relu,0.7,14
params_conv2d_block_0_activation,gelu,0.2,4
params_conv2d_block_0_activation,swish,0.1,2
params_conv2d_block_0_kernel_size,3x5,0.45,9
params_conv2d_block_0_kernel_size,3x3,0.25,5
params_conv2d_block_0_kernel_size,5x5,0.1,2
params_conv2d_block_0_kernel_size,1x5,0.1,2
params_conv2d_block_0_kernel_size,5x1,0.1,2
params_conv2d_block_0_normalization,none,0.95,19
params_conv2d_block_0_normalization,batch_norm,0.05,1
params_conv2d_block_0_pool_size,1x2,0.5,10
params_conv2d_block_0_pool_size,2x4,0.3,6
params_conv2d_block_0_pool_size,,0.15,3
params_conv2d_block_0_pool_size,2x2,0.05,1
params_conv2d_block_0_pooling,average_pool_2d,0.65,13
params_conv2d_block_0_pooling,max_pool_2d,0.2,4
params_conv2d_block_0_pooling,none,0.15,3
params_conv2d_block_1_activation,relu,0.7,14
params_conv2d_block_1_activation,swish,0.15,3
params_conv2d_block_1_activation,,0.1,2
params_conv2d_block_1_activation,gelu,0.05,1
params_conv2d_block_1_kernel_size,1x5,0.6,12
params_conv2d_block_1_kernel_size,5x5,0.1,2
params_conv2d_block_1_kernel_size,,0.1,2
params_conv2d_block_1_kernel_size,3x5,0.1,2
params_conv2d_block_1_kernel_size,1x7,0.05,1
params_conv2d_block_1_kernel_size,5x1,0.05,1
params_conv2d_block_1_normalization,batch_norm,0.8,16
params_conv2d_block_1_normalization,,0.1,2
params_conv2d_block_1_normalization,none,0.1,2
params_conv2d_block_1_pool_size,2x2,0.65,13
params_conv2d_block_1_pool_size,1x2,0.15,3
params_conv2d_block_1_pool_size,,0.15,3
params_conv2d_block_1_pool_size,2x4,0.05,1
params_conv2d_block_1_pooling,max_pool_2d,0.75,15
params_conv2d_block_1_pooling,,0.1,2
params_conv2d_block_1_pooling,average_pool_2d,0.1,2
params_conv2d_block_1_pooling,none,0.05,1
params_conv2d_block_2_activation,relu,0.55,11
params_conv2d_block_2_activation,gelu,0.25,5
params_conv2d_block_2_activation,,0.2,4
params_conv2d_block_2_kernel_size,3x3,0.6,12
params_conv2d_block_2_kernel_size,,0.2,4
params_conv2d_block_2_kernel_size,5x5,0.1,2
params_conv2d_block_2_kernel_size,1x5,0.05,1
params_conv2d_block_2_kernel_size,3x5,0.05,1
params_conv2d_block_2_normalization,none,0.75,15
params_conv2d_block_2_normalization,,0.2,4
params_conv2d_block_2_normalization,batch_norm,0.05,1
params_conv2d_block_2_pool_size,1x2,0.65,13
params_conv2d_block_2_pool_size,,0.2,4
params_conv2d_block_2_pool_size,2x4,0.15,3
params_conv2d_block_2_pooling,max_pool_2d,0.55,11
params_conv2d_block_2_pooling,average_pool_2d,0.25,5
params_conv2d_block_2_pooling,,0.2,4
params_conv2d_block_3_activation,swish,0.55,11
params_conv2d_block_3_activation,,0.4,8
params_conv2d_block_3_activation,relu,0.05,1
params_conv2d_block_3_kernel_size,,0.4,8
params_conv2d_block_3_kernel_size,1x5,0.35,7
params_conv2d_block_3_kernel_size,5x5,0.15,3
params_conv2d_block_3_kernel_size,3x5,0.1,2
params_conv2d_block_3_normalization,batch_norm,0.55,11
params_conv2d_block_3_normalization,,0.4,8
params_conv2d_block_3_normalization,none,0.05,1
params_conv2d_block_3_pool_size,,0.45,9
params_conv2d_block_3_pool_size,1x2,0.35,7
params_conv2d_block_3_pool_size,2x4,0.15,3
params_conv2d_block_3_pool_size,2x2,0.05,1
params_conv2d_block_3_pooling,max_pool_2d,0.55,11
params_conv2d_block_3_pooling,,0.4,8
params_conv2d_block_3_pooling,none,0.05,1
params_global_pooling,concat_avg_max,0.6,12
params_global_pooling,max,0.3,6
params_global_pooling,average,0.1,2
