Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv2d_block_0_filters,60.8,22.39,64,64,64,16,67.2
params_conv2d_block_0_layers,1.8,0.41,2,2,2,1,2
params_conv2d_block_1_filters,128.89,56.09,128,128,128,56.8,256
params_conv2d_block_1_layers,1.22,0.43,1,1,1,1,2
params_conv2d_block_2_filters,110,60.4,128,104,128,16,160
params_conv2d_block_2_layers,1.06,0.25,1,1,1,1,1.25
params_conv2d_block_3_filters,117.33,24.91,128,128,128,64,128
params_conv2d_block_3_layers,1.92,0.29,2,2,2,1.55,2
params_dense_0_dropout,0.15,0.13,0.15,7.50e-02,0.23,1.50e-02,0.29
params_dense_0_units,176,96,192,112,256,73.6,256
params_learning_rate,1.62e-03,1.85e-03,8.34e-04,6.25e-04,1.51e-03,4.12e-04,5.53e-03
params_num_conv_blocks,3.3,1.03,4,3,4,1,4
params_num_dense_layers,0.2,0.41,0,0,0,0,1
