Parameter,Category,Fraction,Count
params_conv2d_block_0_activation,relu,1.0,50
params_conv2d_block_0_kernel_size,5x5,0.94,47
params_conv2d_block_0_kernel_size,3x3,0.04,2
params_conv2d_block_0_kernel_size,1x7,0.02,1
params_conv2d_block_0_normalization,none,1.0,50
params_conv2d_block_0_pool_size,2x4,0.78,39
params_conv2d_block_0_pool_size,2x2,0.18,9
params_conv2d_block_0_pool_size,1x2,0.04,2
params_conv2d_block_0_pooling,average_pool_2d,0.96,48
params_conv2d_block_0_pooling,max_pool_2d,0.04,2
params_conv2d_block_1_activation,gelu,0.9,45
params_conv2d_block_1_activation,relu,0.08,4
params_conv2d_block_1_activation,swish,0.02,1
params_conv2d_block_1_kernel_size,5x5,0.94,47
params_conv2d_block_1_kernel_size,3x5,0.04,2
params_conv2d_block_1_kernel_size,5x1,0.02,1
params_conv2d_block_1_normalization,none,1.0,50
params_conv2d_block_1_pool_size,2x4,0.92,46
params_conv2d_block_1_pool_size,1x2,0.08,4
params_conv2d_block_1_pooling,max_pool_2d,1.0,50
params_conv2d_block_2_activation,swish,0.52,26
params_conv2d_block_2_activation,gelu,0.46,23
params_conv2d_block_2_activation,relu,0.02,1
params_conv2d_block_2_kernel_size,3x5,0.9,45
params_conv2d_block_2_kernel_size,5x5,0.06,3
params_conv2d_block_2_kernel_size,3x3,0.02,1
params_conv2d_block_2_kernel_size,1x7,0.02,1
params_conv2d_block_2_normalization,none,1.0,50
params_conv2d_block_2_pool_size,1x2,0.98,49
params_conv2d_block_2_pool_size,2x4,0.02,1
params_conv2d_block_2_pooling,average_pool_2d,0.9,45
params_conv2d_block_2_pooling,max_pool_2d,0.1,5
params_conv2d_block_3_activation,relu,0.54,27
params_conv2d_block_3_activation,gelu,0.46,23
params_conv2d_block_3_kernel_size,1x5,0.64,32
params_conv2d_block_3_kernel_size,3x3,0.18,9
params_conv2d_block_3_kernel_size,3x5,0.12,6
params_conv2d_block_3_kernel_size,5x5,0.04,2
params_conv2d_block_3_kernel_size,5x1,0.02,1
params_conv2d_block_3_normalization,batch_norm,1.0,50
params_conv2d_block_3_pool_size,1x2,0.72,36
params_conv2d_block_3_pool_size,2x2,0.28,14
params_conv2d_block_3_pooling,average_pool_2d,0.96,48
params_conv2d_block_3_pooling,max_pool_2d,0.04,2
params_global_pooling,max,1.0,50
