Parameter,Category,Fraction,Count
params_conv2d_block_0_activation,relu,0.84,42
params_conv2d_block_0_activation,gelu,0.12,6
params_conv2d_block_0_activation,swish,0.04,2
params_conv2d_block_0_kernel_size,3x3,0.44,22
params_conv2d_block_0_kernel_size,5x1,0.18,9
params_conv2d_block_0_kernel_size,3x5,0.18,9
params_conv2d_block_0_kernel_size,1x7,0.08,4
params_conv2d_block_0_kernel_size,1x5,0.06,3
params_conv2d_block_0_kernel_size,5x5,0.06,3
params_conv2d_block_0_normalization,none,0.92,46
params_conv2d_block_0_normalization,batch_norm,0.08,4
params_conv2d_block_0_pool_size,1x2,0.4,20
params_conv2d_block_0_pool_size,2x2,0.36,18
params_conv2d_block_0_pool_size,2x4,0.16,8
params_conv2d_block_0_pool_size,,0.08,4
params_conv2d_block_0_pooling,max_pool_2d,0.8,40
params_conv2d_block_0_pooling,average_pool_2d,0.12,6
params_conv2d_block_0_pooling,none,0.08,4
params_conv2d_block_1_activation,relu,0.82,41
params_conv2d_block_1_activation,swish,0.08,4
params_conv2d_block_1_activation,,0.06,3
params_conv2d_block_1_activation,gelu,0.04,2
params_conv2d_block_1_kernel_size,1x5,0.4,20
params_conv2d_block_1_kernel_size,3x3,0.36,18
params_conv2d_block_1_kernel_size,,0.06,3
params_conv2d_block_1_kernel_size,3x5,0.06,3
params_conv2d_block_1_kernel_size,5x1,0.06,3
params_conv2d_block_1_kernel_size,5x5,0.04,2
params_conv2d_block_1_kernel_size,1x7,0.02,1
params_conv2d_block_1_normalization,none,0.76,38
params_conv2d_block_1_normalization,batch_norm,0.18,9
params_conv2d_block_1_normalization,,0.06,3
params_conv2d_block_1_pool_size,2x4,0.44,22
params_conv2d_block_1_pool_size,,0.36,18
params_conv2d_block_1_pool_size,1x2,0.12,6
params_conv2d_block_1_pool_size,2x2,0.08,4
params_conv2d_block_1_pooling,max_pool_2d,0.4,20
params_conv2d_block_1_pooling,none,0.3,15
params_conv2d_block_1_pooling,average_pool_2d,0.24,12
params_conv2d_block_1_pooling,,0.06,3
params_conv2d_block_2_activation,relu,0.7,35
params_conv2d_block_2_activation,gelu,0.18,9
params_conv2d_block_2_activation,,0.1,5
params_conv2d_block_2_activation,swish,0.02,1
params_conv2d_block_2_kernel_size,1x7,0.38,19
params_conv2d_block_2_kernel_size,5x5,0.16,8
params_conv2d_block_2_kernel_size,5x1,0.16,8
params_conv2d_block_2_kernel_size,,0.1,5
params_conv2d_block_2_kernel_size,3x3,0.1,5
params_conv2d_block_2_kernel_size,1x5,0.06,3
params_conv2d_block_2_kernel_size,3x5,0.04,2
params_conv2d_block_2_normalization,none,0.88,44
params_conv2d_block_2_normalization,,0.1,5
params_conv2d_block_2_normalization,batch_norm,0.02,1
params_conv2d_block_2_pool_size,2x4,0.78,39
params_conv2d_block_2_pool_size,1x2,0.12,6
params_conv2d_block_2_pool_size,,0.1,5
params_conv2d_block_2_pooling,max_pool_2d,0.82,41
params_conv2d_block_2_pooling,,0.1,5
params_conv2d_block_2_pooling,average_pool_2d,0.08,4
params_conv2d_block_3_activation,swish,0.4,20
params_conv2d_block_3_activation,relu,0.26,13
params_conv2d_block_3_activation,,0.22,11
params_conv2d_block_3_activation,gelu,0.12,6
params_conv2d_block_3_kernel_size,5x5,0.3,15
params_conv2d_block_3_kernel_size,,0.22,11
params_conv2d_block_3_kernel_size,3x5,0.22,11
params_conv2d_block_3_kernel_size,3x3,0.2,10
params_conv2d_block_3_kernel_size,1x7,0.02,1
params_conv2d_block_3_kernel_size,1x5,0.02,1
params_conv2d_block_3_kernel_size,5x1,0.02,1
params_conv2d_block_3_normalization,batch_norm,0.54,27
params_conv2d_block_3_normalization,none,0.24,12
params_conv2d_block_3_normalization,,0.22,11
params_conv2d_block_3_pool_size,2x2,0.38,19
params_conv2d_block_3_pool_size,2x4,0.28,14
params_conv2d_block_3_pool_size,,0.24,12
params_conv2d_block_3_pool_size,1x2,0.1,5
params_conv2d_block_3_pooling,max_pool_2d,0.64,32
params_conv2d_block_3_pooling,,0.22,11
params_conv2d_block_3_pooling,average_pool_2d,0.12,6
params_conv2d_block_3_pooling,none,0.02,1
params_global_pooling,max,0.9,45
params_global_pooling,concat_avg_max,0.06,3
params_global_pooling,average,0.04,2
