Parameter,Category,Fraction,Count
params_cnn_activation_layer_0,elu,0.5434782608695652,25
params_cnn_activation_layer_0,relu,0.2391304347826087,11
params_cnn_activation_layer_0,swish,0.21739130434782608,10
params_cnn_activation_layer_1,leaky_relu,1.0,1
params_cnn_use_batch_norm_layer_1,False,1.0,1
params_dense_1_activation,elu,0.717391304347826,33
params_dense_1_activation,swish,0.1956521739130435,9
params_dense_1_activation,tanh,0.043478260869565216,2
params_dense_1_activation,sigmoid,0.021739130434782608,1
params_dense_1_activation,leaky_relu,0.021739130434782608,1
params_dense_2_activation,leaky_relu,0.5,23
params_dense_2_activation,relu,0.45652173913043476,21
params_dense_2_activation,sigmoid,0.043478260869565216,2
params_optimizer,AdamW,0.43478260869565216,20
params_optimizer,Adam,0.32608695652173914,15
params_optimizer,Nadam,0.2391304347826087,11
