Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,34.08695652173913,14.154427790870132,32.0,32.0,32.0,32.0,128.0
params_cnn_filters_layer_0,99.1304347826087,12.758628793708679,56.0,90.0,100.0,108.0,124.0
params_cnn_filters_layer_1,16.0,,16.0,16.0,16.0,16.0,16.0
params_cnn_filters_layer_2,,,,,,,
params_cnn_filters_layer_3,,,,,,,
params_cnn_kernel_height_0,2.5434782608695654,1.3284330240990354,1.0,2.0,2.0,3.0,6.0
params_cnn_kernel_height_1,4.0,,4.0,4.0,4.0,4.0,4.0
params_cnn_kernel_height_2,,,,,,,
params_cnn_kernel_height_3,,,,,,,
params_cnn_kernel_width_0,6.304347826086956,0.8398297504029228,3.0,6.0,6.0,7.0,7.0
params_cnn_kernel_width_1,7.0,,7.0,7.0,7.0,7.0,7.0
params_cnn_kernel_width_2,,,,,,,
params_cnn_kernel_width_3,,,,,,,
params_cnn_num_layers,1.0217391304347827,0.1474419561548971,1.0,1.0,1.0,1.0,2.0
params_cnn_pool_size_dim1_0,18.652173913043477,2.81438677989716,2.0,19.0,19.0,20.0,20.0
params_cnn_pool_size_dim1_1,4.0,,4.0,4.0,4.0,4.0,4.0
params_cnn_pool_size_dim1_2,,,,,,,
params_cnn_pool_size_dim1_3,,,,,,,
params_cnn_pool_size_dim2_0,8.217391304347826,4.589422832161703,1.0,5.0,6.0,12.0,20.0
params_cnn_pool_size_dim2_1,8.0,,8.0,8.0,8.0,8.0,8.0
params_cnn_pool_size_dim2_2,,,,,,,
params_cnn_pool_size_dim2_3,,,,,,,
params_dense_1_units,165.56521739130434,34.59971237768253,64.0,128.0,192.0,192.0,192.0
params_dense_2_units,172.52173913043478,42.3874924583681,128.0,128.0,192.0,192.0,256.0
params_learning_rate,0.0017016092571608805,0.0007360712782493204,0.0005926181486240827,0.0011428163067672102,0.0015106479448974105,0.002097273705513266,0.0037703671867266976
params_num_dense_layers,2.0,0.0,2.0,2.0,2.0,2.0,2.0
