Parameter,Category,Fraction,Count
params_cnn_activation_layer_0,swish,0.7567567567567568,56
params_cnn_activation_layer_0,tanh,0.08108108108108109,6
params_cnn_activation_layer_0,elu,0.08108108108108109,6
params_cnn_activation_layer_0,relu,0.04054054054054054,3
params_cnn_activation_layer_0,sigmoid,0.02702702702702703,2
params_cnn_activation_layer_0,leaky_relu,0.013513513513513514,1
params_cnn_activation_layer_1,leaky_relu,0.6351351351351351,47
params_cnn_activation_layer_1,elu,0.10810810810810811,8
params_cnn_activation_layer_1,swish,0.0945945945945946,7
params_cnn_activation_layer_1,relu,0.0945945945945946,7
params_cnn_activation_layer_1,sigmoid,0.04054054054054054,3
params_cnn_activation_layer_1,tanh,0.02702702702702703,2
params_cnn_activation_layer_2,swish,0.6756756756756757,50
params_cnn_activation_layer_2,elu,0.17567567567567569,13
params_cnn_activation_layer_2,relu,0.06756756756756757,5
params_cnn_activation_layer_2,sigmoid,0.05405405405405406,4
params_cnn_activation_layer_2,leaky_relu,0.02702702702702703,2
params_cnn_activation_layer_3,relu,0.6081081081081081,45
params_cnn_activation_layer_3,tanh,0.17567567567567569,13
params_cnn_activation_layer_3,elu,0.08108108108108109,6
params_cnn_activation_layer_3,swish,0.08108108108108109,6
params_cnn_activation_layer_3,sigmoid,0.02702702702702703,2
params_cnn_activation_layer_3,leaky_relu,0.02702702702702703,2
params_dense_1_activation,leaky_relu,0.704225352112676,50
params_dense_1_activation,swish,0.11267605633802817,8
params_dense_1_activation,elu,0.08450704225352113,6
params_dense_1_activation,sigmoid,0.07042253521126761,5
params_dense_1_activation,tanh,0.028169014084507043,2
params_dense_2_activation,leaky_relu,0.32142857142857145,18
params_dense_2_activation,elu,0.2857142857142857,16
params_dense_2_activation,swish,0.26785714285714285,15
params_dense_2_activation,sigmoid,0.07142857142857142,4
params_dense_2_activation,tanh,0.03571428571428571,2
params_dense_2_activation,relu,0.017857142857142856,1
params_optimizer,Nadam,0.7297297297297297,54
params_optimizer,AdamW,0.12162162162162163,9
params_optimizer,Lion,0.08108108108108109,6
params_optimizer,RMSprop,0.05405405405405406,4
params_optimizer,SGD,0.013513513513513514,1
