Parameter,Category,Fraction,Count
params_cnn_activation_layer_0,tanh,0.35714285714285715,5
params_cnn_activation_layer_0,swish,0.21428571428571427,3
params_cnn_activation_layer_0,elu,0.14285714285714285,2
params_cnn_activation_layer_0,sigmoid,0.14285714285714285,2
params_cnn_activation_layer_0,relu,0.14285714285714285,2
params_cnn_activation_layer_1,swish,0.42857142857142855,6
params_cnn_activation_layer_1,relu,0.14285714285714285,2
params_cnn_activation_layer_1,leaky_relu,0.14285714285714285,2
params_cnn_activation_layer_1,sigmoid,0.14285714285714285,2
params_cnn_activation_layer_1,elu,0.07142857142857142,1
params_cnn_activation_layer_1,tanh,0.07142857142857142,1
params_cnn_activation_layer_2,relu,0.35714285714285715,5
params_cnn_activation_layer_2,swish,0.2857142857142857,4
params_cnn_activation_layer_2,sigmoid,0.21428571428571427,3
params_cnn_activation_layer_2,leaky_relu,0.07142857142857142,1
params_cnn_activation_layer_2,elu,0.07142857142857142,1
params_cnn_activation_layer_3,tanh,0.5,7
params_cnn_activation_layer_3,relu,0.21428571428571427,3
params_cnn_activation_layer_3,swish,0.14285714285714285,2
params_cnn_activation_layer_3,sigmoid,0.07142857142857142,1
params_cnn_activation_layer_3,leaky_relu,0.07142857142857142,1
params_dense_1_activation,elu,0.45454545454545453,5
params_dense_1_activation,leaky_relu,0.2727272727272727,3
params_dense_1_activation,tanh,0.18181818181818182,2
params_dense_1_activation,sigmoid,0.09090909090909091,1
params_dense_2_activation,swish,0.3333333333333333,1
params_dense_2_activation,tanh,0.3333333333333333,1
params_dense_2_activation,elu,0.3333333333333333,1
params_optimizer,Lion,0.42857142857142855,6
params_optimizer,AdamW,0.2857142857142857,4
params_optimizer,Nadam,0.14285714285714285,2
params_optimizer,SGD,0.07142857142857142,1
params_optimizer,RMSprop,0.07142857142857142,1
