Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,91.42857142857143,66.246293696866,32.0,32.0,96.0,128.0,256.0
params_cnn_filters_layer_0,61.142857142857146,21.248917231625793,20.0,45.0,62.0,71.0,96.0
params_cnn_filters_layer_1,79.14285714285714,39.5413262741209,20.0,52.0,66.0,123.0,124.0
params_cnn_filters_layer_2,68.0,20.873243822949696,40.0,45.0,72.0,80.0,108.0
params_cnn_filters_layer_3,64.28571428571429,26.086921484289263,20.0,49.0,66.0,75.0,116.0
params_cnn_kernel_height_0,4.571428571428571,2.6228078235206023,1.0,2.0,5.5,7.0,7.0
params_cnn_kernel_height_1,3.7142857142857144,2.0913216810491813,1.0,1.5,4.0,5.0,7.0
params_cnn_kernel_height_2,5.071428571428571,2.017778127403648,2.0,3.25,5.5,7.0,7.0
params_cnn_kernel_height_3,3.2857142857142856,1.6374732612530445,1.0,2.0,2.5,5.0,6.0
params_cnn_kernel_width_0,5.0,2.0,1.0,4.0,5.0,7.0,7.0
params_cnn_kernel_width_1,4.428571428571429,1.8277470669267508,2.0,3.0,4.0,6.0,7.0
params_cnn_kernel_width_2,4.642857142857143,2.7345972240938847,1.0,2.0,6.5,7.0,7.0
params_cnn_kernel_width_3,2.642857142857143,1.5984195491000022,1.0,2.0,2.0,3.0,7.0
params_cnn_pool_size_dim1_0,1.2142857142857142,0.42581531362632,1.0,1.0,1.0,1.0,2.0
params_cnn_pool_size_dim1_1,1.5,0.5188745216627708,1.0,1.0,1.5,2.0,2.0
params_cnn_pool_size_dim1_2,1.2857142857142858,0.46880723093849547,1.0,1.0,1.0,1.75,2.0
params_cnn_pool_size_dim1_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn_pool_size_dim2_0,1.9285714285714286,0.6157279262148819,1.0,2.0,2.0,2.0,3.0
params_cnn_pool_size_dim2_1,2.2142857142857144,0.5789342235218394,1.0,2.0,2.0,2.75,3.0
params_cnn_pool_size_dim2_2,2.642857142857143,0.633323693776651,1.0,2.25,3.0,3.0,3.0
params_cnn_pool_size_dim2_3,1.7857142857142858,0.5789342235218394,1.0,1.25,2.0,2.0,3.0
params_dense_1_units,343.27272727272725,118.9530082924269,128.0,256.0,384.0,448.0,448.0
params_dense_2_units,192.0,128.0,64.0,128.0,192.0,256.0,320.0
params_learning_rate,0.0005849594351544195,0.0009009549044961221,2.715494519462698e-05,0.0001166681584912021,0.00017487521281089576,0.0003792985021814486,0.0030345250255870908
params_num_dense_layers,1.0,0.6793662204867574,0.0,1.0,1.0,1.0,2.0
