Parameter,Category,Fraction,Count
params_cnn_activation_layer_0,relu,0.7109826589595376,123
params_cnn_activation_layer_0,sigmoid,0.09826589595375723,17
params_cnn_activation_layer_0,elu,0.08670520231213873,15
params_cnn_activation_layer_0,swish,0.04046242774566474,7
params_cnn_activation_layer_0,leaky_relu,0.03468208092485549,6
params_cnn_activation_layer_0,tanh,0.028901734104046242,5
params_cnn_activation_layer_1,swish,0.8034682080924855,139
params_cnn_activation_layer_1,relu,0.06936416184971098,12
params_cnn_activation_layer_1,tanh,0.046242774566473986,8
params_cnn_activation_layer_1,leaky_relu,0.028901734104046242,5
params_cnn_activation_layer_1,sigmoid,0.028901734104046242,5
params_cnn_activation_layer_1,elu,0.023121387283236993,4
params_cnn_activation_layer_2,swish,0.6011560693641619,104
params_cnn_activation_layer_2,leaky_relu,0.23121387283236994,40
params_cnn_activation_layer_2,relu,0.057803468208092484,10
params_cnn_activation_layer_2,tanh,0.05202312138728324,9
params_cnn_activation_layer_2,elu,0.028901734104046242,5
params_cnn_activation_layer_2,sigmoid,0.028901734104046242,5
params_cnn_activation_layer_3,relu,0.7167630057803468,124
params_cnn_activation_layer_3,elu,0.14450867052023122,25
params_cnn_activation_layer_3,leaky_relu,0.05202312138728324,9
params_cnn_activation_layer_3,swish,0.03468208092485549,6
params_cnn_activation_layer_3,sigmoid,0.028901734104046242,5
params_cnn_activation_layer_3,tanh,0.023121387283236993,4
params_dense_1_activation,elu,0.6,102
params_dense_1_activation,relu,0.19411764705882353,33
params_dense_1_activation,sigmoid,0.058823529411764705,10
params_dense_1_activation,tanh,0.058823529411764705,10
params_dense_1_activation,swish,0.052941176470588235,9
params_dense_1_activation,leaky_relu,0.03529411764705882,6
params_dense_2_activation,relu,0.7986577181208053,119
params_dense_2_activation,leaky_relu,0.06040268456375839,9
params_dense_2_activation,elu,0.04697986577181208,7
params_dense_2_activation,tanh,0.03355704697986577,5
params_dense_2_activation,sigmoid,0.03355704697986577,5
params_dense_2_activation,swish,0.026845637583892617,4
params_optimizer,AdamW,0.5549132947976878,96
params_optimizer,Adam,0.3179190751445087,55
params_optimizer,Nadam,0.03468208092485549,6
params_optimizer,Lion,0.03468208092485549,6
params_optimizer,RMSprop,0.028901734104046242,5
params_optimizer,SGD,0.028901734104046242,5
