Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,46.797687861271676,44.391880613355134,32.0,32.0,32.0,32.0,256.0
params_cnn_filters_layer_0,72.0693641618497,16.455572257271687,28.0,60.0,68.0,80.0,128.0
params_cnn_filters_layer_1,92.13872832369943,17.05747304689444,16.0,92.0,96.0,100.0,124.0
params_cnn_filters_layer_2,87.51445086705202,14.071084872646155,16.0,84.0,88.0,96.0,124.0
params_cnn_filters_layer_3,76.64739884393063,38.87902310966791,16.0,28.0,100.0,108.0,128.0
params_cnn_kernel_height_0,1.2947976878612717,1.094290993565822,1.0,1.0,1.0,1.0,7.0
params_cnn_kernel_height_1,1.393063583815029,1.1444295733067957,1.0,1.0,1.0,1.0,7.0
params_cnn_kernel_height_2,4.895953757225434,1.5328328532454893,1.0,4.0,6.0,6.0,7.0
params_cnn_kernel_height_3,3.7109826589595376,0.9570701808607814,1.0,4.0,4.0,4.0,7.0
params_cnn_kernel_width_0,3.346820809248555,1.3493985556128474,1.0,2.0,3.0,4.0,7.0
params_cnn_kernel_width_1,1.5375722543352601,0.9853749739189149,1.0,1.0,1.0,2.0,7.0
params_cnn_kernel_width_2,3.8554913294797686,0.7974788880962734,1.0,4.0,4.0,4.0,7.0
params_cnn_kernel_width_3,6.265895953757226,1.2194375040651906,1.0,6.0,7.0,7.0,7.0
params_cnn_pool_size_dim1_0,1.5664739884393064,0.4970000066266668,1.0,1.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_1,1.930635838150289,0.2548098933154196,1.0,2.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_2,1.5722543352601157,0.4961879145700735,1.0,1.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_3,1.5202312138728324,0.5010407235888599,1.0,1.0,2.0,2.0,2.0
params_cnn_pool_size_dim2_0,1.1040462427745665,0.4321872954105541,1.0,1.0,1.0,1.0,3.0
params_cnn_pool_size_dim2_1,2.208092485549133,0.9599802278736375,1.0,1.0,3.0,3.0,3.0
params_cnn_pool_size_dim2_2,2.0,0.15249857033260467,1.0,2.0,2.0,2.0,3.0
params_cnn_pool_size_dim2_3,1.0809248554913296,0.3646203187956107,1.0,1.0,1.0,1.0,3.0
params_dense_1_units,381.36470588235295,50.377238933626614,128.0,384.0,384.0,384.0,512.0
params_dense_2_units,289.93288590604027,73.10651840179156,64.0,256.0,320.0,320.0,512.0
params_learning_rate,0.00046050035301743383,0.00034229667619316924,1.0262954723515796e-05,0.00025025515851100137,0.00035743078321907613,0.000572853582133636,0.002228224777536989
params_num_dense_layers,1.8439306358381502,0.40909803771585784,0.0,2.0,2.0,2.0,2.0
