Parameter,Mean,Std,Min,25%,Median,75%,Max
params_cnn3d_filters_layer_0,338.7586206896552,115.94916343122516,96.0,256.0,320.0,448.0,512.0
params_cnn3d_filters_layer_1,229.1494252873563,162.13449260267333,32.0,96.0,160.0,384.0,512.0
params_cnn3d_filters_layer_2,189.42528735632183,97.86935194834265,32.0,128.0,192.0,224.0,512.0
params_cnn3d_kernel_depth_0,2.1149425287356323,1.3590804633872762,1.0,1.0,2.0,2.0,5.0
params_cnn3d_kernel_depth_1,3.8735632183908044,1.0869693059694716,1.0,3.0,4.0,5.0,5.0
params_cnn3d_kernel_depth_2,2.793103448275862,1.2213024979502825,1.0,2.0,3.0,3.0,5.0
params_cnn3d_kernel_height_0,2.1149425287356323,1.2797645800613395,1.0,1.0,2.0,3.5,5.0
params_cnn3d_kernel_height_1,2.9655172413793105,1.2147186090275734,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_2,1.896551724137931,1.110567451420205,1.0,1.0,2.0,2.0,5.0
params_cnn3d_kernel_width_0,3.1494252873563218,0.9945050847226278,1.0,3.0,3.0,4.0,5.0
params_cnn3d_kernel_width_1,2.528735632183908,1.4373674293552776,1.0,1.0,2.0,4.0,5.0
params_cnn3d_kernel_width_2,2.6666666666666665,1.3088843702075608,1.0,2.0,2.0,4.0,5.0
params_cnn3d_pool_size_dim1_0,1.7471264367816093,0.43717887363044405,1.0,1.5,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_1,1.0689655172413792,0.2548644623048696,1.0,1.0,1.0,1.0,2.0
params_cnn3d_pool_size_dim1_2,1.9080459770114941,0.2906361870283388,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim2_0,3.045977011494253,1.2095361976472105,1.0,2.0,3.0,4.0,5.0
params_cnn3d_pool_size_dim2_1,1.7701149425287357,1.1683933455349715,1.0,1.0,1.0,2.0,5.0
params_cnn3d_pool_size_dim2_2,2.6091954022988504,1.4253218472859763,1.0,1.0,3.0,4.0,5.0
params_cnn3d_pool_size_dim3_0,1.4827586206896552,0.5025994976241309,1.0,1.0,1.0,2.0,2.0
params_cnn3d_pool_size_dim3_1,1.8620689655172413,0.3468266034531822,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim3_2,1.0574712643678161,0.23409011577637512,1.0,1.0,1.0,1.0,2.0
params_dense_1_units,319.264367816092,114.85809847525559,64.0,256.0,320.0,384.0,512.0
params_dense_2_units,205.24137931034483,94.97170591486665,64.0,128.0,192.0,256.0,448.0
params_learning_rate,0.0037970498936210667,0.003268982190612107,1.386834917697232e-05,0.0003996335216546012,0.0035553360411775927,0.0066575351137197515,0.009951543933409041
