Parameter,Category,Fraction,Count
params_cnn3d_activation_layer_0,tanh,0.3804100227790433,167
params_cnn3d_activation_layer_0,swish,0.22323462414578588,98
params_cnn3d_activation_layer_0,elu,0.16856492027334852,74
params_cnn3d_activation_layer_0,relu,0.13211845102505695,58
params_cnn3d_activation_layer_0,sigmoid,0.06150341685649203,27
params_cnn3d_activation_layer_0,leaky_relu,0.03416856492027335,15
params_cnn3d_activation_layer_1,tanh,0.44874715261959,197
params_cnn3d_activation_layer_1,sigmoid,0.1662870159453303,73
params_cnn3d_activation_layer_1,leaky_relu,0.1571753986332574,69
params_cnn3d_activation_layer_1,elu,0.1275626423690205,56
params_cnn3d_activation_layer_1,swish,0.0683371298405467,30
params_cnn3d_activation_layer_1,relu,0.03189066059225513,14
params_cnn3d_activation_layer_2,swish,0.48291571753986334,212
params_cnn3d_activation_layer_2,relu,0.16173120728929385,71
params_cnn3d_activation_layer_2,sigmoid,0.15945330296127563,70
params_cnn3d_activation_layer_2,elu,0.09567198177676538,42
params_cnn3d_activation_layer_2,leaky_relu,0.0683371298405467,30
params_cnn3d_activation_layer_2,tanh,0.03189066059225513,14
params_dense_1_activation,sigmoid,0.3143507972665148,138
params_dense_1_activation,elu,0.21867881548974943,96
params_dense_1_activation,swish,0.19817767653758542,87
params_dense_1_activation,leaky_relu,0.10250569476082004,45
params_dense_1_activation,relu,0.0979498861047836,43
params_dense_1_activation,tanh,0.0683371298405467,30
params_dense_2_activation,relu,0.34831460674157305,93
params_dense_2_activation,tanh,0.32209737827715357,86
params_dense_2_activation,elu,0.14606741573033707,39
params_dense_2_activation,leaky_relu,0.0749063670411985,20
params_dense_2_activation,sigmoid,0.07116104868913857,19
params_dense_2_activation,swish,0.03745318352059925,10
params_optimizer,RMSprop,0.3595505617977528,96
params_optimizer,AdamW,0.26217228464419473,70
params_optimizer,Adam,0.19850187265917604,53
params_optimizer,Lion,0.11235955056179775,30
params_optimizer,SGD,0.033707865168539325,9
params_optimizer,Nadam,0.033707865168539325,9
