Parameter,Mean,Std,Min,25%,Median,75%,Max
params_cnn3d_filters_layer_0,345.0751708428246,120.94185666099115,32.0,256.0,352.0,448.0,512.0
params_cnn3d_filters_layer_1,201.25740318906605,143.46942074260406,32.0,96.0,160.0,288.0,512.0
params_cnn3d_filters_layer_2,186.0227790432802,90.31163413842336,32.0,128.0,192.0,224.0,512.0
params_cnn3d_kernel_depth_0,2.2004555808656034,1.480743911585739,1.0,1.0,2.0,3.0,5.0
params_cnn3d_kernel_depth_1,3.8906605922551254,0.9962850040008174,1.0,3.0,4.0,5.0,5.0
params_cnn3d_kernel_depth_2,2.6697038724373576,1.1094314039011781,1.0,2.0,3.0,3.0,5.0
params_cnn3d_kernel_height_0,1.856492027334852,1.1954623088101133,1.0,1.0,1.0,2.0,5.0
params_cnn3d_kernel_height_1,3.111617312072893,1.2045677446242307,1.0,3.0,3.0,4.0,5.0
params_cnn3d_kernel_height_2,1.7471526195899771,1.067294985579489,1.0,1.0,1.0,2.0,5.0
params_cnn3d_kernel_width_0,3.216400911161731,0.9246027327087571,1.0,3.0,3.0,4.0,5.0
params_cnn3d_kernel_width_1,2.357630979498861,1.2631517588144627,1.0,1.0,2.0,3.0,5.0
params_cnn3d_kernel_width_2,2.797266514806378,1.3198145018216187,1.0,2.0,3.0,4.0,5.0
params_cnn3d_pool_size_dim1_0,1.8246013667425969,0.3807416016312633,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_1,1.0911161731207288,0.28810256717481497,1.0,1.0,1.0,1.0,2.0
params_cnn3d_pool_size_dim1_2,1.9020501138952164,0.29758600651377753,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim2_0,2.9134396355353074,1.0211358906592995,1.0,2.0,3.0,4.0,5.0
params_cnn3d_pool_size_dim2_1,1.6583143507972664,1.07773984778182,1.0,1.0,1.0,2.0,5.0
params_cnn3d_pool_size_dim2_2,2.6583143507972666,1.5220953718638304,1.0,1.0,3.0,4.0,5.0
params_cnn3d_pool_size_dim3_0,1.4806378132118452,0.5001949880351471,1.0,1.0,1.0,2.0,2.0
params_cnn3d_pool_size_dim3_1,1.9020501138952164,0.29758600651377753,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim3_2,1.0546697038724373,0.22759376163629103,1.0,1.0,1.0,1.0,2.0
params_dense_1_units,322.1867881548975,107.00894729982899,64.0,256.0,320.0,384.0,512.0
params_dense_2_units,220.76404494382024,101.57770711171403,64.0,128.0,192.0,256.0,512.0
params_learning_rate,0.003616665288428729,0.0031348375602266456,1.079729788950478e-05,0.0004290240889542351,0.003236885277599496,0.006283287516339523,0.00999528842962931
