Parameter,Mean,Std,Min,25%,Median,75%,Max
params_cnn3d_filters_layer_0,345.37931034482756,112.14745706033749,96.0,256.0,352.0,448.0,512.0
params_cnn3d_filters_layer_1,228.7816091954023,158.76949983057244,32.0,96.0,160.0,384.0,512.0
params_cnn3d_filters_layer_2,188.32183908045977,93.41324718725298,32.0,128.0,192.0,224.0,512.0
params_cnn3d_kernel_depth_0,2.2298850574712645,1.4117542231686755,1.0,1.0,2.0,3.0,5.0
params_cnn3d_kernel_depth_1,3.8505747126436782,1.0732339266038786,1.0,3.0,4.0,5.0,5.0
params_cnn3d_kernel_depth_2,2.8045977011494254,1.2279599309780742,1.0,2.0,3.0,3.0,5.0
params_cnn3d_kernel_height_0,2.0804597701149423,1.2869505222107611,1.0,1.0,2.0,3.0,5.0
params_cnn3d_kernel_height_1,3.045977011494253,1.1901538495135389,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_2,1.896551724137931,1.1516871623700262,1.0,1.0,2.0,2.0,5.0
params_cnn3d_kernel_width_0,3.0919540229885056,0.9600409863833694,1.0,3.0,3.0,4.0,5.0
params_cnn3d_kernel_width_1,2.4942528735632186,1.4131735950441537,1.0,1.0,2.0,4.0,5.0
params_cnn3d_kernel_width_2,2.6666666666666665,1.308884370207561,1.0,2.0,2.0,4.0,5.0
params_cnn3d_pool_size_dim1_0,1.7586206896551724,0.43040049606014763,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_1,1.0574712643678161,0.23409011577637515,1.0,1.0,1.0,1.0,2.0
params_cnn3d_pool_size_dim1_2,1.896551724137931,0.3063089623779221,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim2_0,3.0804597701149423,1.1931820930116521,1.0,2.0,3.0,4.0,5.0
params_cnn3d_pool_size_dim2_1,1.7126436781609196,1.1402574778287813,1.0,1.0,1.0,2.0,5.0
params_cnn3d_pool_size_dim2_2,2.7011494252873565,1.4715514872874946,1.0,1.0,3.0,4.0,5.0
params_cnn3d_pool_size_dim3_0,1.5057471264367817,0.5028653529707439,1.0,1.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim3_1,1.8735632183908046,0.3342676027665394,1.0,2.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim3_2,1.0574712643678161,0.23409011577637515,1.0,1.0,1.0,1.0,2.0
params_dense_1_units,324.41379310344826,108.15154653004466,64.0,256.0,320.0,384.0,512.0
params_dense_2_units,195.3684210526316,84.16239225851824,64.0,128.0,192.0,256.0,448.0
params_learning_rate,0.0037698832558825347,0.003283560982924864,1.386834917697232e-05,0.0004490209306814421,0.0034365240172392142,0.006757908642405577,0.009951543933409041
