Parameter,Mean,Std,Min,25%,Median,75%,Max
params_cnn1d_filters_0,205.0909090909091,172.26627586809585,32.0,64.0,112.0,392.0,512.0
params_cnn1d_filters_1,361.45454545454544,140.5489164317386,32.0,224.0,448.0,480.0,512.0
params_cnn1d_filters_2,238.54545454545453,125.48415745505409,32.0,160.0,192.0,320.0,512.0
params_cnn1d_filters_3,310.21176470588233,82.62711622787312,96.0,256.0,320.0,352.0,512.0
params_cnn1d_filters_4,190.64788732394365,76.3868161009756,32.0,144.0,192.0,224.0,480.0
params_cnn1d_filters_5,122.66666666666667,120.34236874137767,32.0,32.0,64.0,128.0,512.0
params_cnn1d_kernel_size_0,2.784090909090909,0.8087007266002436,1.0,2.0,3.0,3.0,5.0
params_cnn1d_kernel_size_1,3.534090909090909,0.8963381909525464,1.0,3.0,4.0,4.0,5.0
params_cnn1d_kernel_size_2,3.965909090909091,1.0108476429006426,1.0,3.0,4.0,5.0,5.0
params_cnn1d_kernel_size_3,3.411764705882353,1.5833517616500914,1.0,2.0,3.0,5.0,5.0
params_cnn1d_kernel_size_4,2.1971830985915495,0.8039139667874765,1.0,2.0,2.0,2.0,5.0
params_cnn1d_kernel_size_5,2.138888888888889,0.9900296612519901,1.0,1.75,2.0,2.25,5.0
params_cnn1d_pool_size_0,2.715909090909091,1.4696067472764758,1.0,2.0,2.0,3.0,11.0
params_cnn1d_pool_size_1,2.125,2.293481517532759,1.0,1.0,1.0,2.0,15.0
params_cnn1d_pool_size_2,2.9886363636363638,1.9208135140882017,1.0,2.0,2.0,4.0,14.0
params_cnn1d_pool_size_3,3.1882352941176473,1.467863021109087,1.0,2.0,3.0,4.0,7.0
params_cnn1d_pool_size_4,2.6056338028169015,1.6602828781302525,1.0,1.0,2.0,4.0,5.0
params_cnn1d_pool_size_5,1.4722222222222223,0.7740842003337552,1.0,1.0,1.0,2.0,3.0
params_dense_1_units,416.0,95.56991783716411,64.0,384.0,448.0,448.0,512.0
params_dense_2_units,345.6,131.08659442557516,64.0,256.0,384.0,448.0,512.0
params_learning_rate,0.0013599810958925187,0.0021737963089657787,1.7252155916288883e-05,0.0002099564257996386,0.0003892799100414613,0.0010011514641251203,0.009970605951738102
params_num_layers,5.181818181818182,0.8241394612683248,3.0,5.0,5.0,6.0,6.0
