Parameter,Category,Fraction,Count
params_cnn1d_activation_0,leaky_relu,0.5765765765765766,256
params_cnn1d_activation_0,swish,0.13063063063063063,58
params_cnn1d_activation_0,sigmoid,0.12387387387387387,55
params_cnn1d_activation_0,tanh,0.06981981981981981,31
params_cnn1d_activation_0,relu,0.06756756756756757,30
params_cnn1d_activation_0,elu,0.03153153153153153,14
params_cnn1d_activation_1,swish,0.44819819819819817,199
params_cnn1d_activation_1,elu,0.18693693693693694,83
params_cnn1d_activation_1,relu,0.15990990990990991,71
params_cnn1d_activation_1,leaky_relu,0.06981981981981981,31
params_cnn1d_activation_1,tanh,0.06756756756756757,30
params_cnn1d_activation_1,sigmoid,0.06756756756756757,30
params_cnn1d_activation_2,tanh,0.4099099099099099,182
params_cnn1d_activation_2,elu,0.16666666666666666,74
params_cnn1d_activation_2,leaky_relu,0.16216216216216217,72
params_cnn1d_activation_2,sigmoid,0.15990990990990991,71
params_cnn1d_activation_2,relu,0.06756756756756757,30
params_cnn1d_activation_2,swish,0.033783783783783786,15
params_cnn1d_activation_3,leaky_relu,0.4976303317535545,210
params_cnn1d_activation_3,elu,0.17061611374407584,72
params_cnn1d_activation_3,relu,0.13033175355450238,55
params_cnn1d_activation_3,sigmoid,0.07109004739336493,30
params_cnn1d_activation_3,tanh,0.06635071090047394,28
params_cnn1d_activation_3,swish,0.06398104265402843,27
params_cnn1d_activation_4,swish,0.4054794520547945,148
params_cnn1d_activation_4,tanh,0.3643835616438356,133
params_cnn1d_activation_4,elu,0.07671232876712329,28
params_cnn1d_activation_4,sigmoid,0.07671232876712329,28
params_cnn1d_activation_4,relu,0.038356164383561646,14
params_cnn1d_activation_4,leaky_relu,0.038356164383561646,14
params_cnn1d_activation_5,relu,0.581151832460733,111
params_cnn1d_activation_5,sigmoid,0.12041884816753927,23
params_cnn1d_activation_5,swish,0.1099476439790576,21
params_cnn1d_activation_5,tanh,0.06282722513089005,12
params_cnn1d_activation_5,elu,0.06282722513089005,12
params_cnn1d_activation_5,leaky_relu,0.06282722513089005,12
params_cnn1d_use_batch_norm_3,True,0.6919431279620853,292
params_cnn1d_use_batch_norm_3,False,0.3080568720379147,130
params_cnn1d_use_batch_norm_4,False,0.736986301369863,269
params_cnn1d_use_batch_norm_4,True,0.26301369863013696,96
params_cnn1d_use_batch_norm_5,False,0.7486910994764397,143
params_cnn1d_use_batch_norm_5,True,0.2513089005235602,48
params_dense_1_activation,relu,0.5112612612612613,227
params_dense_1_activation,swish,0.20045045045045046,89
params_dense_1_activation,tanh,0.09684684684684684,43
params_dense_1_activation,sigmoid,0.0945945945945946,42
params_dense_1_activation,leaky_relu,0.06531531531531531,29
params_dense_1_activation,elu,0.03153153153153153,14
params_dense_2_activation,swish,0.5428571428571428,209
params_dense_2_activation,elu,0.13506493506493505,52
params_dense_2_activation,tanh,0.13246753246753246,51
params_dense_2_activation,relu,0.09350649350649351,36
params_dense_2_activation,sigmoid,0.06233766233766234,24
params_dense_2_activation,leaky_relu,0.033766233766233764,13
params_optimizer,Nadam,0.6155844155844156,237
params_optimizer,RMSprop,0.12207792207792208,47
params_optimizer,AdamW,0.1012987012987013,39
params_optimizer,Adam,0.06493506493506493,25
params_optimizer,SGD,0.06493506493506493,25
params_optimizer,Lion,0.03116883116883117,12
