Parameter,Mean,Std,Min,25%,Median,75%,Max
params_cnn1d_filters_0,206.4144144144144,171.21446261080143,32.0,64.0,128.0,392.0,512.0
params_cnn1d_filters_1,372.3243243243243,134.24832367388794,32.0,248.0,448.0,480.0,512.0
params_cnn1d_filters_2,234.88288288288288,126.89041778718939,32.0,160.0,192.0,288.0,512.0
params_cnn1d_filters_3,312.5687203791469,89.11823936185709,32.0,256.0,320.0,384.0,512.0
params_cnn1d_filters_4,193.31506849315068,93.9919444631564,32.0,128.0,192.0,224.0,512.0
params_cnn1d_filters_5,144.41884816753927,129.6673982510354,32.0,32.0,96.0,224.0,512.0
params_cnn1d_kernel_size_0,2.9977477477477477,0.9442683789260399,1.0,3.0,3.0,3.0,5.0
params_cnn1d_kernel_size_1,3.5022522522522523,0.9748505097503947,1.0,3.0,4.0,4.0,5.0
params_cnn1d_kernel_size_2,3.7837837837837838,1.1012441591518256,1.0,3.0,4.0,5.0,5.0
params_cnn1d_kernel_size_3,3.632701421800948,1.5148267387416041,1.0,2.0,4.0,5.0,5.0
params_cnn1d_kernel_size_4,2.26027397260274,0.9262264999061546,1.0,2.0,2.0,3.0,5.0
params_cnn1d_kernel_size_5,2.1099476439790577,1.0379410273188878,1.0,1.0,2.0,2.0,5.0
params_cnn1d_pool_size_0,2.619369369369369,1.531220189039283,1.0,2.0,2.0,3.0,13.0
params_cnn1d_pool_size_1,2.1396396396396398,2.202677594012696,1.0,1.0,1.0,2.0,15.0
params_cnn1d_pool_size_2,2.8873873873873874,1.9441231517772297,1.0,2.0,2.0,4.0,15.0
params_cnn1d_pool_size_3,3.109004739336493,1.5202401532300498,1.0,2.0,3.0,4.0,7.0
params_cnn1d_pool_size_4,2.3753424657534246,1.5755498623206878,1.0,1.0,2.0,4.0,5.0
params_cnn1d_pool_size_5,1.513089005235602,0.7937826743773366,1.0,1.0,1.0,2.0,3.0
params_dense_1_units,409.5135135135135,107.26670752770886,64.0,384.0,448.0,448.0,512.0
params_dense_2_units,330.63896103896104,145.5238276557637,64.0,256.0,384.0,448.0,512.0
params_learning_rate,0.0012106522890524356,0.0019456811467708647,1.003422864305887e-05,0.00019755454820972646,0.00038746450933819853,0.0009555521483908207,0.009970605951738102
params_num_layers,5.202702702702703,0.8469261333182602,3.0,5.0,5.0,6.0,6.0
