Parameter,Category,Fraction,Count
params_cnn1d_activation_0,leaky_relu,0.5795454545454546,51
params_cnn1d_activation_0,swish,0.125,11
params_cnn1d_activation_0,tanh,0.09090909090909091,8
params_cnn1d_activation_0,relu,0.09090909090909091,8
params_cnn1d_activation_0,sigmoid,0.07954545454545454,7
params_cnn1d_activation_0,elu,0.03409090909090909,3
params_cnn1d_activation_1,swish,0.4090909090909091,36
params_cnn1d_activation_1,relu,0.17045454545454544,15
params_cnn1d_activation_1,elu,0.14772727272727273,13
params_cnn1d_activation_1,leaky_relu,0.10227272727272728,9
params_cnn1d_activation_1,sigmoid,0.09090909090909091,8
params_cnn1d_activation_1,tanh,0.07954545454545454,7
params_cnn1d_activation_2,tanh,0.375,33
params_cnn1d_activation_2,elu,0.2159090909090909,19
params_cnn1d_activation_2,leaky_relu,0.18181818181818182,16
params_cnn1d_activation_2,sigmoid,0.125,11
params_cnn1d_activation_2,relu,0.056818181818181816,5
params_cnn1d_activation_2,swish,0.045454545454545456,4
params_cnn1d_activation_3,leaky_relu,0.5232558139534884,45
params_cnn1d_activation_3,elu,0.20930232558139536,18
params_cnn1d_activation_3,relu,0.09302325581395349,8
params_cnn1d_activation_3,sigmoid,0.08139534883720931,7
params_cnn1d_activation_3,swish,0.046511627906976744,4
params_cnn1d_activation_3,tanh,0.046511627906976744,4
params_cnn1d_activation_4,swish,0.43661971830985913,31
params_cnn1d_activation_4,tanh,0.352112676056338,25
params_cnn1d_activation_4,sigmoid,0.07042253521126761,5
params_cnn1d_activation_4,elu,0.056338028169014086,4
params_cnn1d_activation_4,relu,0.04225352112676056,3
params_cnn1d_activation_4,leaky_relu,0.04225352112676056,3
params_cnn1d_activation_5,relu,0.6052631578947368,23
params_cnn1d_activation_5,swish,0.07894736842105263,3
params_cnn1d_activation_5,sigmoid,0.07894736842105263,3
params_cnn1d_activation_5,tanh,0.07894736842105263,3
params_cnn1d_activation_5,elu,0.07894736842105263,3
params_cnn1d_activation_5,leaky_relu,0.07894736842105263,3
params_cnn1d_use_batch_norm_3,True,0.7209302325581395,62
params_cnn1d_use_batch_norm_3,False,0.27906976744186046,24
params_cnn1d_use_batch_norm_4,False,0.7746478873239436,55
params_cnn1d_use_batch_norm_4,True,0.22535211267605634,16
params_cnn1d_use_batch_norm_5,False,0.6578947368421053,25
params_cnn1d_use_batch_norm_5,True,0.34210526315789475,13
params_dense_1_activation,relu,0.48863636363636365,43
params_dense_1_activation,swish,0.26136363636363635,23
params_dense_1_activation,sigmoid,0.10227272727272728,9
params_dense_1_activation,tanh,0.07954545454545454,7
params_dense_1_activation,leaky_relu,0.03409090909090909,3
params_dense_1_activation,elu,0.03409090909090909,3
params_dense_2_activation,swish,0.525,42
params_dense_2_activation,elu,0.1875,15
params_dense_2_activation,tanh,0.1375,11
params_dense_2_activation,relu,0.0625,5
params_dense_2_activation,leaky_relu,0.05,4
params_dense_2_activation,sigmoid,0.0375,3
params_optimizer,Nadam,0.6375,51
params_optimizer,AdamW,0.1375,11
params_optimizer,RMSprop,0.1,8
params_optimizer,SGD,0.05,4
params_optimizer,Adam,0.05,4
params_optimizer,Lion,0.025,2
