Parameter,Category,Fraction,Count
params_cheb_0_act,elu,0.807,46
params_cheb_0_act,none,0.0877,5
params_cheb_0_act,tanh,0.0702,4
params_cheb_0_act,gelu,0.0175,1
params_cheb_0_act,silu,0.0175,1
params_cheb_1_act,silu,0.8246,47
params_cheb_1_act,none,0.0702,4
params_cheb_1_act,tanh,0.0526,3
params_cheb_1_act,elu,0.0351,2
params_cheb_1_act,gelu,0.0175,1
params_cheb_2_act,tanh,0.8772,50
params_cheb_2_act,elu,0.0351,2
params_cheb_2_act,silu,0.0351,2
params_cheb_2_act,gelu,0.0175,1
params_cheb_2_act,relu,0.0175,1
params_cheb_2_act,none,0.0175,1
params_cheb_3_act,silu,0.8113,43
params_cheb_3_act,elu,0.0943,5
params_cheb_3_act,none,0.0566,3
params_cheb_3_act,relu,0.0189,1
params_cheb_3_act,gelu,0.0189,1
params_cheb_4_act,relu,0.96,48
params_cheb_4_act,elu,0.02,1
params_cheb_4_act,none,0.02,1
params_dense_0_act,relu,0.8246,47
params_dense_0_act,elu,0.0877,5
params_dense_0_act,none,0.0526,3
params_dense_0_act,silu,0.0351,2
params_dense_1_act,elu,0.8246,47
params_dense_1_act,tanh,0.1053,6
params_dense_1_act,gelu,0.0526,3
params_dense_1_act,relu,0.0175,1
params_dense_2_act,silu,0.6545,36
params_dense_2_act,relu,0.2182,12
params_dense_2_act,gelu,0.0909,5
params_dense_2_act,elu,0.0364,2
params_dense_3_act,elu,0.9302,40
params_dense_3_act,relu,0.0465,2
params_dense_3_act,none,0.0233,1
