Parameter,Category,Fraction,Count
params_cheb_0_act,none,0.45,9
params_cheb_0_act,elu,0.15,3
params_cheb_0_act,tanh,0.1,2
params_cheb_0_act,gelu,0.1,2
params_cheb_0_act,silu,0.1,2
params_cheb_0_act,relu,0.05,1
params_cheb_0_act,sigmoid,0.05,1
params_cheb_1_act,relu,0.6316,12
params_cheb_1_act,silu,0.1579,3
params_cheb_1_act,sigmoid,0.1053,2
params_cheb_1_act,elu,0.1053,2
params_cheb_2_act,elu,0.5,2
params_cheb_2_act,none,0.25,1
params_cheb_2_act,silu,0.25,1
params_cheb_3_act,relu,1.0,1
params_dense_0_act,relu,0.5882,10
params_dense_0_act,none,0.1176,2
params_dense_0_act,sigmoid,0.1176,2
params_dense_0_act,gelu,0.0588,1
params_dense_0_act,silu,0.0588,1
params_dense_0_act,tanh,0.0588,1
params_dense_1_act,gelu,0.4667,7
params_dense_1_act,relu,0.2,3
params_dense_1_act,tanh,0.1333,2
params_dense_1_act,none,0.1333,2
params_dense_1_act,elu,0.0667,1
params_optimizer,lion,0.85,17
params_optimizer,adam,0.1,2
params_optimizer,rmsprop,0.05,1
