Parameter,Category,Fraction,Count
params_cheb_0_act,elu,0.9524,20
params_cheb_0_act,none,0.0476,1
params_cheb_1_act,tanh,0.7619,16
params_cheb_1_act,silu,0.1429,3
params_cheb_1_act,elu,0.0476,1
params_cheb_1_act,relu,0.0476,1
params_cheb_2_act,elu,0.9,9
params_cheb_2_act,tanh,0.1,1
params_cheb_3_act,elu,1.0,2
params_dense_0_act,tanh,0.9048,19
params_dense_0_act,relu,0.0476,1
params_dense_0_act,gelu,0.0476,1
params_dense_1_act,none,0.7619,16
params_dense_1_act,gelu,0.1905,4
params_dense_1_act,relu,0.0476,1
params_dense_2_act,tanh,0.9524,20
params_dense_2_act,silu,0.0476,1
params_optimizer,lion,1.0,21
