Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,0.15,0.21,0.15,7.50e-02,0.23,1.50e-02,0.29
params_cheb_0_units,280,56.57,280,260,300,244,316
params_cheb_1_dropout,0.35,7.07e-02,0.35,0.33,0.38,0.31,0.4
params_cheb_1_units,360,56.57,360,340,380,324,396
params_cheb_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_cheb_2_units,No data,No data,No data,No data,No data,No data,No data
params_cheb_3_dropout,No data,No data,No data,No data,No data,No data,No data
params_cheb_3_units,No data,No data,No data,No data,No data,No data,No data
params_dense_0_dropout,0.2,0,0.2,0.2,0.2,0.2,0.2
params_dense_0_units,450,0,450,450,450,450,450
params_dense_1_dropout,0.2,0,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,425,247.49,425,337.5,512.5,267.5,582.5
params_dense_2_dropout,0.4,0,0.4,0.4,0.4,0.4,0.4
params_dense_2_units,525,35.36,525,512.5,537.5,502.5,547.5
params_knn_k,16,0,16,16,16,16,16
params_num_dense_layers,3,0,3,3,3,3,3
params_num_gnn_layers,2,0,2,2,2,2,2
