Parameter,Category,Fraction,Count
params_cheb_0_act,relu,0.4167,5
params_cheb_0_act,elu,0.25,3
params_cheb_0_act,tanh,0.1667,2
params_cheb_0_act,silu,0.0833,1
params_cheb_0_act,gelu,0.0833,1
params_cheb_1_act,elu,0.5455,6
params_cheb_1_act,relu,0.1818,2
params_cheb_1_act,tanh,0.0909,1
params_cheb_1_act,none,0.0909,1
params_cheb_1_act,sigmoid,0.0909,1
params_cheb_2_act,relu,0.3333,1
params_cheb_2_act,tanh,0.3333,1
params_cheb_2_act,none,0.3333,1
params_dense_0_act,gelu,0.7,7
params_dense_0_act,sigmoid,0.2,2
params_dense_0_act,tanh,0.1,1
params_dense_1_act,none,0.4444,4
params_dense_1_act,silu,0.3333,3
params_dense_1_act,elu,0.1111,1
params_dense_1_act,relu,0.1111,1
params_dense_2_act,tanh,0.5,4
params_dense_2_act,none,0.125,1
params_dense_2_act,relu,0.125,1
params_dense_2_act,silu,0.125,1
params_dense_2_act,elu,0.125,1
params_optimizer,lion,0.75,9
params_optimizer,adamw,0.0833,1
params_optimizer,adam,0.0833,1
params_optimizer,sgd,0.0833,1
