Parameter,Category,Fraction,Count
params_cheb_0_act,relu,0.3871,12
params_cheb_0_act,gelu,0.2581,8
params_cheb_0_act,none,0.1935,6
params_cheb_0_act,elu,0.0968,3
params_cheb_0_act,sigmoid,0.0645,2
params_cheb_1_act,relu,0.4839,15
params_cheb_1_act,none,0.1613,5
params_cheb_1_act,gelu,0.0968,3
params_cheb_1_act,silu,0.0968,3
params_cheb_1_act,elu,0.0968,3
params_cheb_1_act,tanh,0.0323,1
params_cheb_1_act,sigmoid,0.0323,1
params_cheb_2_act,relu,0.3333,7
params_cheb_2_act,silu,0.2857,6
params_cheb_2_act,elu,0.2381,5
params_cheb_2_act,gelu,0.0952,2
params_cheb_2_act,none,0.0476,1
params_cheb_3_act,gelu,0.4444,4
params_cheb_3_act,tanh,0.3333,3
params_cheb_3_act,sigmoid,0.2222,2
params_dense_0_act,elu,0.5517,16
params_dense_0_act,gelu,0.2069,6
params_dense_0_act,silu,0.1379,4
params_dense_0_act,none,0.069,2
params_dense_0_act,tanh,0.0345,1
params_dense_1_act,silu,0.3214,9
params_dense_1_act,sigmoid,0.2143,6
params_dense_1_act,tanh,0.1786,5
params_dense_1_act,gelu,0.1786,5
params_dense_1_act,none,0.1071,3
params_dense_2_act,none,0.5714,12
params_dense_2_act,silu,0.1905,4
params_dense_2_act,tanh,0.1905,4
params_dense_2_act,elu,0.0476,1
params_optimizer,lion,0.871,27
params_optimizer,adam,0.0645,2
params_optimizer,sgd,0.0323,1
params_optimizer,adamw,0.0323,1
