Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,0.33,0.16,0.3,0.2,0.5,0.1,0.5
params_cheb_0_units,194.84,113.96,200.0,80.0,280.0,40.0,360.0
params_cheb_1_dropout,0.45,0.13,0.5,0.5,0.5,0.15,0.5
params_cheb_1_units,269.68,141.97,320.0,120.0,400.0,40.0,400.0
params_cheb_2_dropout,0.29,0.2,0.4,0.1,0.4,0.0,0.5
params_cheb_2_units,329.52,80.9,360.0,280.0,400.0,240.0,400.0
params_cheb_3_dropout,0.34,0.15,0.4,0.2,0.5,0.14,0.5
params_cheb_3_units,182.22,118.51,120.0,120.0,320.0,56.0,344.0
params_dense_0_dropout,0.28,0.16,0.4,0.2,0.4,0.0,0.4
params_dense_0_units,520.69,104.81,600.0,400.0,600.0,350.0,600.0
params_dense_1_dropout,0.3,0.1,0.3,0.2,0.4,0.2,0.4
params_dense_1_units,491.07,126.97,550.0,412.5,600.0,267.5,600.0
params_dense_2_dropout,0.21,0.17,0.2,0.0,0.4,0.0,0.4
params_dense_2_units,440.48,111.38,400.0,350.0,550.0,300.0,600.0
params_knn_k,8.39,4.42,8.0,4.0,10.0,4.0,16.0
params_num_dense_layers,2.52,0.85,3.0,2.0,3.0,0.5,3.0
params_num_gnn_layers,2.97,0.8,3.0,2.0,4.0,2.0,4.0
