"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,75.29411764705883,46.566840006975916,64,64,64,64,256
params_learning_rate,0.005121176181773999,0.002419754082422835,0.00007314871067266375,0.004383720178877089,0.005254455386507105,0.006294430064104534,0.008809271434760853
params_lidar_filter_decay_factor,0.3689655172413794,0.22272641724018274,0.1,0.15000000000000002,0.4,0.5,0.9
params_lidar_filters_layer_0,63.632183908045974,30.178582788603173,16,48,64,80,128
params_lidar_kernel_decay_factor,0.6494252873563218,0.12470762384929561,0.2,0.6,0.7000000000000001,0.7000000000000001,0.9
params_lidar_kernel_height_0,2.103448275862069,0.7476238756907156,1,2,2,3,3
params_lidar_kernel_height_1,1.3333333333333333,0.5773502691896257,1,1,1,1.5,2
params_lidar_kernel_height_2,1,0,1,1,1,1,1
params_lidar_kernel_width_0,2.9310344827586206,0.3338675217102242,1,3,3,3,3
params_lidar_kernel_width_1,1.3333333333333333,0.5773502691896257,1,1,1,1.5,2
params_lidar_kernel_width_2,1,0,1,1,1,1,1
params_lidar_layers,1.0574712643678161,0.3182920203385149,1,1,1,1,3
params_pool_dim1,1.0804597701149425,0.2735805142573971,1,1,1,1,2
params_pool_dim2,2.4367816091954024,0.6416031778267469,1,2,2,3,4
