"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,39.716312056737586,13.737501457758794,32,32,32,32,64
params_cnn3d_filter_decay_factor,0.52734375,0.2695573259267578,0.1,0.30000000000000004,0.6,0.8,0.9
params_cnn3d_filters_layer_0,73.125,27.744209782774284,16,60,64,96,128
params_cnn3d_kernel_decay_factor,0.548046875,0.24285090590730768,0.1,0.4,0.6,0.7000000000000001,0.9
params_cnn3d_kernel_depth_0,3.26953125,1.2686295581777813,1,2,3,4,5
params_cnn3d_kernel_depth_1,1.7423312883435582,0.8929695020244873,1,1,2,2,4
params_cnn3d_kernel_depth_2,1.4222222222222223,0.7830270194133233,1,1,1,2,4
params_cnn3d_kernel_height_0,4.20703125,0.9782484221761852,1,4,5,5,5
params_cnn3d_kernel_height_1,1.8098159509202454,0.8646140025029924,1,1,2,2,4
params_cnn3d_kernel_height_2,1.3777777777777778,0.6838689696694591,1,1,1,2,4
params_cnn3d_kernel_width_0,3.38671875,1.0111434873255054,1,3,3,4,5
params_cnn3d_kernel_width_1,1.5460122699386503,0.7132126411200643,1,1,1,2,4
params_cnn3d_kernel_width_2,1.4222222222222223,0.7830270194133233,1,1,1,2,4
params_cnn3d_layers,1.8125,0.7112540705972631,1,1,2,2,3
params_learning_rate,0.0010903324508314274,0.0019754865350467042,0.00001157464252155152,0.00018621351124638893,0.00037571955591067215,0.0008135908938329735,0.009781137348545348
params_pool_dim1,1.34765625,0.47715905084564997,1,1,1,2,2
params_pool_dim2,3.72265625,1.5304857536602106,1,2,4.5,5,5
params_pool_dim3,1.31640625,0.4659844891384766,1,1,1,2,2
