Parameter,Category,Fraction,Count
params_cnn_activation_layer_0,relu,0.7630057803468208,132
params_cnn_activation_layer_0,sigmoid,0.10982658959537572,19
params_cnn_activation_layer_0,leaky_relu,0.04046242774566474,7
params_cnn_activation_layer_0,tanh,0.04046242774566474,7
params_cnn_activation_layer_0,elu,0.028901734104046242,5
params_cnn_activation_layer_0,swish,0.017341040462427744,3
params_cnn_activation_layer_1,swish,0.8034682080924855,139
params_cnn_activation_layer_1,relu,0.046242774566473986,8
params_cnn_activation_layer_1,tanh,0.046242774566473986,8
params_cnn_activation_layer_1,sigmoid,0.03468208092485549,6
params_cnn_activation_layer_1,elu,0.03468208092485549,6
params_cnn_activation_layer_1,leaky_relu,0.03468208092485549,6
params_cnn_activation_layer_2,swish,0.6358381502890174,110
params_cnn_activation_layer_2,leaky_relu,0.2023121387283237,35
params_cnn_activation_layer_2,relu,0.06358381502890173,11
params_cnn_activation_layer_2,tanh,0.04046242774566474,7
params_cnn_activation_layer_2,sigmoid,0.03468208092485549,6
params_cnn_activation_layer_2,elu,0.023121387283236993,4
params_cnn_activation_layer_3,relu,0.7803468208092486,135
params_cnn_activation_layer_3,elu,0.06358381502890173,11
params_cnn_activation_layer_3,tanh,0.04046242774566474,7
params_cnn_activation_layer_3,sigmoid,0.04046242774566474,7
params_cnn_activation_layer_3,leaky_relu,0.04046242774566474,7
params_cnn_activation_layer_3,swish,0.03468208092485549,6
params_dense_1_activation,elu,0.6432748538011696,110
params_dense_1_activation,relu,0.15789473684210525,27
params_dense_1_activation,swish,0.07017543859649122,12
params_dense_1_activation,sigmoid,0.07017543859649122,12
params_dense_1_activation,leaky_relu,0.04093567251461988,7
params_dense_1_activation,tanh,0.017543859649122806,3
params_dense_2_activation,relu,0.7823529411764706,133
params_dense_2_activation,leaky_relu,0.07058823529411765,12
params_dense_2_activation,sigmoid,0.041176470588235294,7
params_dense_2_activation,swish,0.03529411764705882,6
params_dense_2_activation,elu,0.03529411764705882,6
params_dense_2_activation,tanh,0.03529411764705882,6
params_optimizer,AdamW,0.5028901734104047,87
params_optimizer,Adam,0.35260115606936415,61
params_optimizer,Lion,0.04046242774566474,7
params_optimizer,Nadam,0.03468208092485549,6
params_optimizer,RMSprop,0.03468208092485549,6
params_optimizer,SGD,0.03468208092485549,6
