Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,45.872832369942195,49.314439740617956,32.0,32.0,32.0,32.0,256.0
params_cnn_filters_layer_0,68.83236994219654,12.148341529149512,44.0,60.0,68.0,72.0,108.0
params_cnn_filters_layer_1,96.04624277456648,8.430161126285574,60.0,92.0,96.0,100.0,124.0
params_cnn_filters_layer_2,87.44508670520231,7.933857504721723,68.0,84.0,88.0,92.0,108.0
params_cnn_filters_layer_3,78.61271676300578,38.13951226068923,16.0,28.0,100.0,108.0,124.0
params_cnn_kernel_height_0,1.092485549132948,0.5931794074164928,1.0,1.0,1.0,1.0,7.0
params_cnn_kernel_height_1,1.1849710982658959,0.8424801593671362,1.0,1.0,1.0,1.0,7.0
params_cnn_kernel_height_2,5.329479768786127,1.0349127959532887,3.0,4.0,6.0,6.0,7.0
params_cnn_kernel_height_3,3.953757225433526,0.5788423581611485,2.0,4.0,4.0,4.0,7.0
params_cnn_kernel_width_0,3.1271676300578033,1.0092661164578032,1.0,2.0,3.0,4.0,6.0
params_cnn_kernel_width_1,1.4104046242774566,0.7465473694697563,1.0,1.0,1.0,2.0,5.0
params_cnn_kernel_width_2,4.011560693641618,0.5905106117861678,2.0,4.0,4.0,4.0,7.0
params_cnn_kernel_width_3,6.433526011560693,1.0688114163856077,1.0,6.0,7.0,7.0,7.0
params_cnn_pool_size_dim1_0,1.5260115606936415,0.5007723568188898,1.0,1.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_1,2.0,0.0,2.0,2.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_2,1.5260115606936415,0.5007723568188898,1.0,1.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_3,1.4739884393063585,0.5007723568188898,1.0,1.0,1.0,2.0,2.0
params_cnn_pool_size_dim2_0,1.0115606936416186,0.10720765041027998,1.0,1.0,1.0,1.0,2.0
params_cnn_pool_size_dim2_1,2.1560693641618496,0.9728468388728135,1.0,1.0,3.0,3.0,3.0
params_cnn_pool_size_dim2_2,2.0,0.0,2.0,2.0,2.0,2.0,2.0
params_cnn_pool_size_dim2_3,1.0578034682080926,0.29943712037365877,1.0,1.0,1.0,1.0,3.0
params_dense_1_units,386.99415204678365,39.15361858057587,128.0,384.0,384.0,384.0,512.0
params_dense_2_units,292.1411764705882,73.97539218885764,64.0,256.0,320.0,320.0,512.0
params_learning_rate,0.00046989969552914607,0.0006943893136511115,1.4424118287798059e-05,0.0002507245123702159,0.00035283575260958573,0.0005352300272162759,0.008957409198373064
params_num_dense_layers,1.9710982658959537,0.22690397684103672,0.0,2.0,2.0,2.0,2.0
