Parameter,Category,Fraction,Count
params_cnn_activation_layer_0,swish,1.0,14
params_cnn_activation_layer_1,leaky_relu,0.7142857142857143,10
params_cnn_activation_layer_1,elu,0.21428571428571427,3
params_cnn_activation_layer_1,relu,0.07142857142857142,1
params_cnn_activation_layer_2,swish,0.5,7
params_cnn_activation_layer_2,elu,0.5,7
params_cnn_activation_layer_3,relu,0.6428571428571429,9
params_cnn_activation_layer_3,elu,0.14285714285714285,2
params_cnn_activation_layer_3,swish,0.07142857142857142,1
params_cnn_activation_layer_3,leaky_relu,0.07142857142857142,1
params_cnn_activation_layer_3,tanh,0.07142857142857142,1
params_dense_1_activation,leaky_relu,0.5714285714285714,8
params_dense_1_activation,swish,0.2857142857142857,4
params_dense_1_activation,sigmoid,0.14285714285714285,2
params_dense_2_activation,elu,0.38461538461538464,5
params_dense_2_activation,swish,0.3076923076923077,4
params_dense_2_activation,leaky_relu,0.23076923076923078,3
params_dense_2_activation,sigmoid,0.07692307692307693,1
params_optimizer,Nadam,1.0,14
