Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,48.0,59.86651818838306,32.0,32.0,32.0,32.0,256.0
params_cnn_filters_layer_0,39.714285714285715,20.604064466203564,24.0,28.0,32.0,43.0,104.0
params_cnn_filters_layer_1,34.285714285714285,32.523195441995576,16.0,16.0,18.0,26.0,104.0
params_cnn_filters_layer_2,68.0,4.1509961733021665,60.0,64.0,68.0,72.0,72.0
params_cnn_filters_layer_3,41.42857142857143,11.699535071066752,32.0,33.0,38.0,47.0,76.0
params_cnn_kernel_height_0,1.4285714285714286,1.6035674514745466,1.0,1.0,1.0,1.0,7.0
params_cnn_kernel_height_1,4.642857142857143,1.2774459408789605,4.0,4.0,4.0,4.0,7.0
params_cnn_kernel_height_2,4.285714285714286,1.0690449676496974,1.0,4.0,4.5,5.0,5.0
params_cnn_kernel_height_3,4.714285714285714,1.0690449676496974,1.0,5.0,5.0,5.0,5.0
params_cnn_kernel_width_0,3.357142857142857,1.0082080720186268,2.0,3.0,3.0,4.0,6.0
params_cnn_kernel_width_1,5.285714285714286,0.46880723093849547,5.0,5.0,5.0,5.75,6.0
params_cnn_kernel_width_2,6.857142857142857,0.3631365196012814,6.0,7.0,7.0,7.0,7.0
params_cnn_kernel_width_3,2.0,0.0,2.0,2.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
params_cnn_pool_size_dim1_1,1.0714285714285714,0.26726124191242434,1.0,1.0,1.0,1.0,2.0
params_cnn_pool_size_dim1_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn_pool_size_dim1_3,1.0714285714285714,0.26726124191242434,1.0,1.0,1.0,1.0,2.0
params_cnn_pool_size_dim2_0,2.0714285714285716,0.26726124191242445,2.0,2.0,2.0,2.0,3.0
params_cnn_pool_size_dim2_1,3.0,0.0,3.0,3.0,3.0,3.0,3.0
params_cnn_pool_size_dim2_2,3.0,0.0,3.0,3.0,3.0,3.0,3.0
params_cnn_pool_size_dim2_3,2.0,0.0,2.0,2.0,2.0,2.0,2.0
params_dense_1_units,251.42857142857142,77.22665371460843,64.0,256.0,256.0,256.0,448.0
params_dense_2_units,241.23076923076923,108.2144120455264,128.0,128.0,256.0,320.0,384.0
params_learning_rate,0.001323906409628942,0.0016792249912974395,0.00043525919950195593,0.0006691534022905093,0.0009047341670690246,0.0011768621448529153,0.007084805552883227
params_num_dense_layers,1.9285714285714286,0.26726124191242434,1.0,2.0,2.0,2.0,2.0
