Parameter,Category,Fraction,Count
params_cnn3d_activation_layer_0,leaky_relu,0.46808510638297873,88
params_cnn3d_activation_layer_0,swish,0.13297872340425532,25
params_cnn3d_activation_layer_0,relu,0.11170212765957446,21
params_cnn3d_activation_layer_0,elu,0.11170212765957446,21
params_cnn3d_activation_layer_0,tanh,0.11170212765957446,21
params_cnn3d_activation_layer_0,sigmoid,0.06382978723404255,12
params_cnn3d_activation_layer_1,elu,0.32978723404255317,62
params_cnn3d_activation_layer_1,sigmoid,0.2765957446808511,52
params_cnn3d_activation_layer_1,relu,0.1595744680851064,30
params_cnn3d_activation_layer_1,swish,0.10638297872340426,20
params_cnn3d_activation_layer_1,tanh,0.09042553191489362,17
params_cnn3d_activation_layer_1,leaky_relu,0.03723404255319149,7
params_cnn3d_activation_layer_2,swish,0.40425531914893614,76
params_cnn3d_activation_layer_2,tanh,0.20212765957446807,38
params_cnn3d_activation_layer_2,sigmoid,0.13829787234042554,26
params_cnn3d_activation_layer_2,elu,0.0851063829787234,16
params_cnn3d_activation_layer_2,relu,0.0851063829787234,16
params_cnn3d_activation_layer_2,leaky_relu,0.0851063829787234,16
params_cnn3d_activation_layer_3,relu,0.3776595744680851,71
params_cnn3d_activation_layer_3,swish,0.31382978723404253,59
params_cnn3d_activation_layer_3,sigmoid,0.1276595744680851,24
params_cnn3d_activation_layer_3,elu,0.07446808510638298,14
params_cnn3d_activation_layer_3,leaky_relu,0.06382978723404255,12
params_cnn3d_activation_layer_3,tanh,0.0425531914893617,8
params_cnn3d_use_batch_norm_layer_1,False,0.601063829787234,113
params_cnn3d_use_batch_norm_layer_1,True,0.39893617021276595,75
params_cnn3d_use_batch_norm_layer_2,False,0.6542553191489362,123
params_cnn3d_use_batch_norm_layer_2,True,0.34574468085106386,65
params_cnn3d_use_batch_norm_layer_3,False,0.8457446808510638,159
params_cnn3d_use_batch_norm_layer_3,True,0.15425531914893617,29
params_dense_1_activation,elu,0.3790322580645161,47
params_dense_1_activation,sigmoid,0.22580645161290322,28
params_dense_1_activation,leaky_relu,0.21774193548387097,27
params_dense_1_activation,swish,0.08064516129032258,10
params_dense_1_activation,tanh,0.04838709677419355,6
params_dense_1_activation,relu,0.04838709677419355,6
params_dense_2_activation,tanh,0.5161290322580645,16
params_dense_2_activation,elu,0.1935483870967742,6
params_dense_2_activation,swish,0.0967741935483871,3
params_dense_2_activation,leaky_relu,0.06451612903225806,2
params_dense_2_activation,relu,0.06451612903225806,2
params_dense_2_activation,sigmoid,0.06451612903225806,2
params_optimizer,Nadam,0.35911602209944754,65
params_optimizer,SGD,0.18232044198895028,33
params_optimizer,AdamW,0.16574585635359115,30
params_optimizer,Adam,0.11049723756906077,20
params_optimizer,RMSprop,0.10497237569060773,19
params_optimizer,Lion,0.07734806629834254,14
