Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,129.23756906077347,91.84270322829096,32.0,64.0,64.0,256.0,256.0
params_cnn3d_filters_layer_0,92.61702127659575,27.07964343203141,20.0,76.0,100.0,112.0,128.0
params_cnn3d_filters_layer_1,93.34042553191489,26.95829744044443,16.0,88.0,104.0,112.0,128.0
params_cnn3d_filters_layer_2,90.14893617021276,28.424196007069582,16.0,76.0,92.0,116.0,128.0
params_cnn3d_filters_layer_3,69.34042553191489,26.93924763091127,16.0,48.0,72.0,92.0,128.0
params_cnn3d_kernel_depth_0,3.1595744680851063,1.2349906708116034,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_depth_1,1.627659574468085,1.0494107595761806,1.0,1.0,1.0,2.0,5.0
params_cnn3d_kernel_depth_2,3.117021276595745,1.186883601722117,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_depth_3,3.127659574468085,1.2125373806747188,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_0,3.2606382978723403,1.6224176905438379,1.0,1.0,3.0,5.0,5.0
params_cnn3d_kernel_height_1,3.021276595744681,1.3362788415360816,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_2,2.7819148936170213,1.2281426144744851,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_3,3.49468085106383,1.199364093655498,1.0,3.0,4.0,4.0,5.0
params_cnn3d_kernel_width_0,2.9308510638297873,1.2151034018406162,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_width_1,2.367021276595745,1.012424241345826,1.0,2.0,2.0,3.0,5.0
params_cnn3d_kernel_width_2,3.728723404255319,1.362533213287028,1.0,3.0,4.0,5.0,5.0
params_cnn3d_kernel_width_3,3.404255319148936,1.4575574685190724,1.0,2.0,4.0,5.0,5.0
params_cnn3d_pool_size_dim1_0,1.6382978723404256,0.4817762107189398,1.0,1.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_1,1.75,0.4341689461451515,1.0,1.75,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_2,1.3829787234042554,0.487411211796013,1.0,1.0,1.0,2.0,2.0
params_cnn3d_pool_size_dim1_3,1.053191489361702,0.22501437988966,1.0,1.0,1.0,1.0,2.0
params_cnn3d_pool_size_dim2_0,2.0904255319148937,0.6760326462604273,1.0,2.0,2.0,3.0,3.0
params_cnn3d_pool_size_dim2_1,1.6542553191489362,0.7757232117891366,1.0,1.0,1.0,2.0,3.0
params_cnn3d_pool_size_dim2_2,1.7127659574468086,0.8667641023382815,1.0,1.0,1.0,3.0,3.0
params_cnn3d_pool_size_dim2_3,2.0691489361702127,0.4856280118925298,1.0,2.0,2.0,2.0,3.0
params_cnn3d_pool_size_dim3_0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_dense_1_units,291.0967741935484,114.35712279619936,64.0,192.0,320.0,384.0,512.0
params_dense_2_units,212.6451612903226,114.94739329713595,64.0,128.0,192.0,256.0,512.0
params_learning_rate,0.000704681368513787,0.0014630839825615517,1.0141099499291446e-05,3.3935147783056225e-05,8.182543245987918e-05,0.0003815501050308085,0.009040246073000411
params_num_dense_layers,0.824468085106383,0.6906845662811552,0.0,0.0,1.0,1.0,2.0
