Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,125.28440366972477,91.29677743755306,32.0,64.0,64.0,256.0,256.0
params_cnn3d_filters_layer_0,92.27571580063626,27.079977363041486,16.0,76.0,100.0,112.0,128.0
params_cnn3d_filters_layer_1,93.17073170731707,27.382086760624574,16.0,88.0,104.0,112.0,128.0
params_cnn3d_filters_layer_2,91.44856839872746,27.36001343196261,16.0,76.0,92.0,116.0,128.0
params_cnn3d_filters_layer_3,68.7168610816543,27.370761786118475,16.0,44.0,72.0,92.0,128.0
params_cnn3d_kernel_depth_0,3.2439024390243905,1.2440527049616035,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_depth_1,1.586426299045599,1.0399178559690434,1.0,1.0,1.0,2.0,5.0
params_cnn3d_kernel_depth_2,3.116648992576882,1.1797875815574512,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_depth_3,3.1187698833510074,1.1822725305895916,1.0,2.5,3.0,4.0,5.0
params_cnn3d_kernel_height_0,3.227995758218452,1.619277745205519,1.0,1.0,3.0,5.0,5.0
params_cnn3d_kernel_height_1,3.066808059384942,1.3452720907502458,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_2,2.7985153764581123,1.2163596105831556,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_3,3.5259809119830328,1.1542929507693316,1.0,3.0,4.0,4.0,5.0
params_cnn3d_kernel_width_0,2.9236479321314954,1.1576857777450085,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_width_1,2.4040296924708375,0.9931103893333924,1.0,2.0,2.0,3.0,5.0
params_cnn3d_kernel_width_2,3.819724284199364,1.2741731127881826,1.0,3.0,4.0,5.0,5.0
params_cnn3d_kernel_width_3,3.4485683987274656,1.4281279475389104,1.0,2.0,4.0,5.0,5.0
params_cnn3d_pool_size_dim1_0,1.6362672322375398,0.4813282893636052,1.0,1.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_1,1.7497348886532345,0.43339551291863615,1.0,1.5,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_2,1.3382820784729585,0.4733761123058836,1.0,1.0,1.0,2.0,2.0
params_cnn3d_pool_size_dim1_3,1.0572640509013786,0.23246975752748816,1.0,1.0,1.0,1.0,2.0
params_cnn3d_pool_size_dim2_0,2.109225874867444,0.7166133897804191,1.0,2.0,2.0,3.0,3.0
params_cnn3d_pool_size_dim2_1,1.623541887592789,0.7678224718622433,1.0,1.0,1.0,2.0,3.0
params_cnn3d_pool_size_dim2_2,1.7274655355249204,0.8414416419230194,1.0,1.0,1.0,3.0,3.0
params_cnn3d_pool_size_dim2_3,2.0445387062566276,0.4834076826231988,1.0,2.0,2.0,2.0,3.0
params_cnn3d_pool_size_dim3_0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_dense_1_units,291.94666666666666,115.524775604715,64.0,192.0,320.0,384.0,512.0
params_dense_2_units,213.89473684210526,113.17730085608758,64.0,128.0,192.0,256.0,512.0
params_learning_rate,0.0006722825900796318,0.0014387684365551213,1.0001194724361503e-05,2.9281539612955247e-05,6.364904648088746e-05,0.0003288222347062919,0.009800054613394213
params_num_dense_layers,0.8101802757158006,0.7086231599043246,0.0,0.0,1.0,1.0,2.0
