Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,132.95027624309392,92.55042326832162,32.0,64.0,64.0,256.0,256.0
params_cnn3d_filters_layer_0,91.57446808510639,27.75580658494352,20.0,75.0,100.0,112.0,128.0
params_cnn3d_filters_layer_1,91.85106382978724,28.20056412634386,16.0,84.0,100.0,112.0,128.0
params_cnn3d_filters_layer_2,89.8936170212766,28.61040836935221,16.0,75.0,92.0,116.0,128.0
params_cnn3d_filters_layer_3,68.97872340425532,27.63667203449679,16.0,44.0,72.0,92.0,128.0
params_cnn3d_kernel_depth_0,3.127659574468085,1.2300518884163423,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_depth_1,1.6436170212765957,1.0524286667191542,1.0,1.0,1.0,2.0,5.0
params_cnn3d_kernel_depth_2,3.095744680851064,1.211082063008341,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_depth_3,3.1117021276595747,1.2163200731810917,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_0,3.25531914893617,1.6314828412323668,1.0,1.0,3.0,5.0,5.0
params_cnn3d_kernel_height_1,3.0319148936170213,1.3400624748751222,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_height_2,2.75531914893617,1.2252789289582207,1.0,1.75,3.0,4.0,5.0
params_cnn3d_kernel_height_3,3.484042553191489,1.2081543967175241,1.0,3.0,4.0,4.0,5.0
params_cnn3d_kernel_width_0,2.9627659574468086,1.198794763964055,1.0,2.0,3.0,4.0,5.0
params_cnn3d_kernel_width_1,2.3617021276595747,1.0222243109091227,1.0,2.0,2.0,3.0,5.0
params_cnn3d_kernel_width_2,3.734042553191489,1.3576917492126397,1.0,3.0,4.0,5.0,5.0
params_cnn3d_kernel_width_3,3.398936170212766,1.4498382488317891,1.0,2.0,4.0,5.0,5.0
params_cnn3d_pool_size_dim1_0,1.627659574468085,0.48471928152947347,1.0,1.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_1,1.7446808510638299,0.4372047871896164,1.0,1.0,2.0,2.0,2.0
params_cnn3d_pool_size_dim1_2,1.3829787234042554,0.48741121179601293,1.0,1.0,1.0,2.0,2.0
params_cnn3d_pool_size_dim1_3,1.053191489361702,0.22501437988966,1.0,1.0,1.0,1.0,2.0
params_cnn3d_pool_size_dim2_0,2.0851063829787235,0.6806661485151446,1.0,2.0,2.0,3.0,3.0
params_cnn3d_pool_size_dim2_1,1.6595744680851063,0.7815135663044483,1.0,1.0,1.0,2.0,3.0
params_cnn3d_pool_size_dim2_2,1.7234042553191489,0.8702357578302529,1.0,1.0,1.0,3.0,3.0
params_cnn3d_pool_size_dim2_3,2.0585106382978724,0.49789064677186484,1.0,2.0,2.0,2.0,3.0
params_cnn3d_pool_size_dim3_0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim3_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_dense_1_units,293.16129032258067,116.58978096713196,64.0,192.0,320.0,384.0,512.0
params_dense_2_units,213.33333333333334,115.00724614852173,64.0,128.0,192.0,256.0,512.0
params_learning_rate,0.0007141170956123365,0.0014884620636692496,1.0141099499291446e-05,3.261011748116333e-05,8.34270897781854e-05,0.00039645174288299327,0.009040246073000411
params_num_dense_layers,0.8351063829787234,0.7009859285639057,0.0,0.0,1.0,1.0,2.0
