Parameter,Category,Fraction,Count
params_cnn3d_activation_layer_0,leaky_relu,0.5421052631578948,103
params_cnn3d_activation_layer_0,elu,0.23157894736842105,44
params_cnn3d_activation_layer_0,tanh,0.15263157894736842,29
params_cnn3d_activation_layer_0,relu,0.03684210526315789,7
params_cnn3d_activation_layer_0,swish,0.02631578947368421,5
params_cnn3d_activation_layer_0,sigmoid,0.010526315789473684,2
params_cnn3d_activation_layer_1,tanh,0.35714285714285715,5
params_cnn3d_activation_layer_1,elu,0.21428571428571427,3
params_cnn3d_activation_layer_1,leaky_relu,0.14285714285714285,2
params_cnn3d_activation_layer_1,relu,0.14285714285714285,2
params_cnn3d_activation_layer_1,swish,0.07142857142857142,1
params_cnn3d_activation_layer_1,sigmoid,0.07142857142857142,1
params_cnn3d_activation_layer_2,sigmoid,0.5,2
params_cnn3d_activation_layer_2,swish,0.25,1
params_cnn3d_activation_layer_2,tanh,0.25,1
params_cnn3d_activation_layer_3,sigmoid,0.5,1
params_cnn3d_activation_layer_3,elu,0.5,1
params_cnn3d_use_batch_norm_layer_1,False,0.5714285714285714,8
params_cnn3d_use_batch_norm_layer_1,True,0.42857142857142855,6
params_cnn3d_use_batch_norm_layer_2,True,1.0,4
params_cnn3d_use_batch_norm_layer_3,False,0.5,1
params_cnn3d_use_batch_norm_layer_3,True,0.5,1
params_dense_1_activation,tanh,0.3155080213903743,59
params_dense_1_activation,elu,0.2192513368983957,41
params_dense_1_activation,swish,0.17647058823529413,33
params_dense_1_activation,leaky_relu,0.11764705882352941,22
params_dense_1_activation,relu,0.0855614973262032,16
params_dense_1_activation,sigmoid,0.0855614973262032,16
params_dense_2_activation,relu,0.3333333333333333,1
params_dense_2_activation,tanh,0.3333333333333333,1
params_dense_2_activation,sigmoid,0.3333333333333333,1
params_optimizer,Adam,0.4789473684210526,91
params_optimizer,RMSprop,0.2,38
params_optimizer,AdamW,0.16842105263157894,32
params_optimizer,Nadam,0.1368421052631579,26
params_optimizer,Lion,0.010526315789473684,2
params_optimizer,SGD,0.005263157894736842,1
