Parameter,Category,Fraction,Count
params_cnn3d_activation_layer_0,leaky_relu,0.42105263157894735,16
params_cnn3d_activation_layer_0,elu,0.2894736842105263,11
params_cnn3d_activation_layer_0,tanh,0.13157894736842105,5
params_cnn3d_activation_layer_0,swish,0.07894736842105263,3
params_cnn3d_activation_layer_0,sigmoid,0.05263157894736842,2
params_cnn3d_activation_layer_0,relu,0.02631578947368421,1
params_cnn3d_activation_layer_1,elu,0.25,2
params_cnn3d_activation_layer_1,leaky_relu,0.25,2
params_cnn3d_activation_layer_1,tanh,0.25,2
params_cnn3d_activation_layer_1,swish,0.125,1
params_cnn3d_activation_layer_1,relu,0.125,1
params_cnn3d_activation_layer_2,sigmoid,0.5,2
params_cnn3d_activation_layer_2,tanh,0.25,1
params_cnn3d_activation_layer_2,swish,0.25,1
params_cnn3d_activation_layer_3,sigmoid,0.5,1
params_cnn3d_activation_layer_3,elu,0.5,1
params_cnn3d_use_batch_norm_layer_1,True,0.5,4
params_cnn3d_use_batch_norm_layer_1,False,0.5,4
params_cnn3d_use_batch_norm_layer_2,True,1.0,4
params_cnn3d_use_batch_norm_layer_3,False,0.5,1
params_cnn3d_use_batch_norm_layer_3,True,0.5,1
params_dense_1_activation,elu,0.42857142857142855,15
params_dense_1_activation,swish,0.3142857142857143,11
params_dense_1_activation,relu,0.14285714285714285,5
params_dense_1_activation,tanh,0.08571428571428572,3
params_dense_1_activation,leaky_relu,0.02857142857142857,1
params_dense_2_activation,tanh,0.5,1
params_dense_2_activation,relu,0.5,1
params_optimizer,Adam,0.6052631578947368,23
params_optimizer,Nadam,0.21052631578947367,8
params_optimizer,RMSprop,0.07894736842105263,3
params_optimizer,AdamW,0.05263157894736842,2
params_optimizer,SGD,0.02631578947368421,1
params_optimizer,Lion,0.02631578947368421,1
