Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,69.05263157894737,58.82955102640768,32.0,32.0,64.0,64.0,256.0
params_cnn3d_filters_layer_0,81.89473684210526,24.670574959813873,48.0,60.0,80.0,104.0,120.0
params_cnn3d_filters_layer_1,80.0,38.00751805329347,28.0,48.0,80.0,114.0,124.0
params_cnn3d_filters_layer_2,92.0,42.708313008125245,44.0,62.0,98.0,128.0,128.0
params_cnn3d_filters_layer_3,120.0,11.313708498984761,112.0,116.0,120.0,124.0,128.0
params_cnn3d_kernel_depth_0,3.1578947368421053,1.2633356916122018,1.0,2.0,4.0,4.0,5.0
params_cnn3d_kernel_depth_1,3.25,1.3887301496588271,1.0,2.75,3.0,4.25,5.0
params_cnn3d_kernel_depth_2,3.25,2.0615528128088303,1.0,1.75,3.5,5.0,5.0
params_cnn3d_kernel_depth_3,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
params_cnn3d_kernel_height_0,3.263157894736842,1.4829519597532443,1.0,2.0,3.0,5.0,5.0
params_cnn3d_kernel_height_1,3.375,1.1877349391654208,2.0,2.75,3.0,4.25,5.0
params_cnn3d_kernel_height_2,1.75,1.5,1.0,1.0,1.0,1.75,4.0
params_cnn3d_kernel_height_3,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
params_cnn3d_kernel_width_0,2.763157894736842,0.9133901959574144,1.0,2.25,3.0,3.0,5.0
params_cnn3d_kernel_width_1,3.25,1.4880476182856899,1.0,2.0,3.5,4.25,5.0
params_cnn3d_kernel_width_2,3.25,0.9574271077563381,2.0,2.75,3.5,4.0,4.0
params_cnn3d_kernel_width_3,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
params_cnn3d_pool_size_dim1_0,5.473684210526316,2.9750025401330347,1.0,4.0,5.0,6.0,14.0
params_cnn3d_pool_size_dim1_1,2.125,0.9910312089651149,1.0,1.75,2.0,2.25,4.0
params_cnn3d_pool_size_dim1_2,1.25,0.5,1.0,1.0,1.0,1.25,2.0
params_cnn3d_pool_size_dim1_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn3d_pool_size_dim2_0,20.026315789473685,16.98566461095827,2.0,10.25,17.0,23.75,90.0
params_cnn3d_pool_size_dim2_1,6.25,4.891683905218266,1.0,2.0,5.0,10.5,13.0
params_cnn3d_pool_size_dim2_2,2.75,2.0615528128088303,1.0,1.0,2.5,4.25,5.0
params_cnn3d_pool_size_dim2_3,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0
params_cnn3d_pool_size_dim3_0,3.789473684210526,1.84768510738316,1.0,3.0,4.0,4.0,9.0
params_cnn3d_pool_size_dim3_1,2.125,0.8345229603962802,1.0,1.75,2.0,3.0,3.0
params_cnn3d_pool_size_dim3_2,1.5,0.5773502691896257,1.0,1.0,1.5,2.0,2.0
params_cnn3d_pool_size_dim3_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn_num_layers,1.368421052631579,0.8193950514590742,1.0,1.0,1.0,1.0,4.0
params_dense_1_units,314.51428571428573,66.53144830413193,192.0,256.0,320.0,320.0,512.0
params_dense_2_units,192.0,0.0,192.0,192.0,192.0,192.0,192.0
params_learning_rate,0.002004772412419548,0.0020520693189351484,5.805820322582527e-05,0.0008421193726523047,0.00132271257884873,0.0019624257667707483,0.008958808742434047
params_num_dense_layers,0.9736842105263158,0.36663864714701355,0.0,1.0,1.0,1.0,2.0
