Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,128.0,0.0,128.0,128.0,128.0,128.0,128.0
params_cnn1d_filters_0,44.19047619047619,18.866952715314277,32.0,32.0,32.0,64.0,96.0
params_cnn1d_filters_1,409.9047619047619,52.20910338428037,288.0,384.0,416.0,448.0,480.0
params_cnn1d_filters_2,480.0,26.773120849090418,448.0,448.0,480.0,512.0,512.0
params_cnn1d_filters_3,222.47619047619048,41.07507644255705,128.0,224.0,224.0,256.0,288.0
params_cnn1d_filters_4,,,,,,,
params_cnn1d_filters_5,,,,,,,
params_cnn1d_kernel_size_0,4.619047619047619,0.8047478161629565,3.0,5.0,5.0,5.0,5.0
params_cnn1d_kernel_size_1,5.0,0.0,5.0,5.0,5.0,5.0,5.0
params_cnn1d_kernel_size_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn1d_kernel_size_3,3.0,0.0,3.0,3.0,3.0,3.0,3.0
params_cnn1d_kernel_size_4,,,,,,,
params_cnn1d_kernel_size_5,,,,,,,
params_cnn1d_pool_size_0,5.9523809523809526,0.21821789023599233,5.0,6.0,6.0,6.0,6.0
params_cnn1d_pool_size_1,6.190476190476191,0.40237390808147827,6.0,6.0,6.0,6.0,7.0
params_cnn1d_pool_size_2,3.0,0.0,3.0,3.0,3.0,3.0,3.0
params_cnn1d_pool_size_3,5.0,0.0,5.0,5.0,5.0,5.0,5.0
params_cnn1d_pool_size_4,,,,,,,
params_cnn1d_pool_size_5,,,,,,,
params_dense_1_dropout,0.15238095238095237,0.19904534061124773,0.0,0.0,0.0,0.4,0.4
params_dense_1_units,313.9047619047619,147.20662510970922,192.0,192.0,192.0,448.0,512.0
params_dense_2_dropout,0.32857142857142857,0.0643650304346789,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.5
params_dense_2_units,188.95238095238096,13.96594497510351,128.0,192.0,192.0,192.0,192.0
params_learning_rate,0.0010466028872338068,0.0001886626794931542,0.0007716899284222947,0.000911935285931554,0.0010609729548077165,0.001138674204982892,0.001451690609004616
params_num_layers,4.0,0.0,4.0,4.0,4.0,4.0,4.0
