Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,130.99065420560748,40.651648375013195,64.0,128.0,128.0,128.0,256.0
params_cnn1d_filters_0,177.34579439252337,193.3177608412489,32.0,32.0,64.0,448.0,512.0
params_cnn1d_filters_1,422.2803738317757,73.47773303994292,96.0,416.0,448.0,480.0,512.0
params_cnn1d_filters_2,402.5420560747664,110.76733054690536,96.0,352.0,448.0,480.0,512.0
params_cnn1d_filters_3,292.2020202020202,80.05176638900348,32.0,224.0,288.0,352.0,448.0
params_cnn1d_filters_4,281.6,211.53912167729163,32.0,128.0,256.0,480.0,512.0
params_cnn1d_filters_5,298.6666666666667,184.75208614068023,192.0,192.0,192.0,352.0,512.0
params_cnn1d_kernel_size_0,3.5981308411214954,1.071586842060683,1.0,3.0,3.0,5.0,5.0
params_cnn1d_kernel_size_1,4.289719626168225,1.3318262804899266,1.0,4.0,5.0,5.0,5.0
params_cnn1d_kernel_size_2,1.9345794392523366,1.3685898819062947,1.0,1.0,1.0,4.0,5.0
params_cnn1d_kernel_size_3,2.6666666666666665,0.6700593942604901,1.0,2.0,3.0,3.0,5.0
params_cnn1d_kernel_size_4,2.6,1.3416407864998738,1.0,2.0,2.0,4.0,4.0
params_cnn1d_kernel_size_5,4.333333333333333,0.5773502691896258,4.0,4.0,4.0,4.5,5.0
params_cnn1d_pool_size_0,5.97196261682243,2.271471736043818,1.0,6.0,6.0,6.0,15.0
params_cnn1d_pool_size_1,6.037383177570093,1.2806634015291538,1.0,6.0,6.0,6.0,11.0
params_cnn1d_pool_size_2,3.897196261682243,2.01847401467307,1.0,3.0,3.0,4.0,14.0
params_cnn1d_pool_size_3,5.262626262626263,0.9322548765297184,1.0,5.0,5.0,6.0,7.0
params_cnn1d_pool_size_4,2.4,1.140175425099138,1.0,2.0,2.0,3.0,4.0
params_cnn1d_pool_size_5,2.6666666666666665,0.5773502691896258,2.0,2.5,3.0,3.0,3.0
params_dense_1_dropout,0.26635514018691586,0.17426066207257082,0.0,0.0,0.4,0.4,0.5
params_dense_1_units,227.28971962616822,113.68518342797677,64.0,192.0,192.0,192.0,512.0
params_dense_2_dropout,0.25327102803738316,0.10399361102413374,0.0,0.2,0.30000000000000004,0.30000000000000004,0.5
params_dense_2_units,259.58878504672896,105.06412716257861,128.0,192.0,192.0,320.0,512.0
params_learning_rate,0.0012097204024518087,0.0010750833345899466,1.7189558863768923e-05,0.0008269699639065942,0.001023937848848628,0.001220764007979323,0.008364937790242546
params_num_layers,4.0,0.45557345160942025,3.0,4.0,4.0,4.0,6.0
