Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_filters_0,457.97849462365593,79.36842797094305,32.0,448.0,480.0,512.0,512.0
params_conv1d_filters_1,277.6774193548387,148.16479964599367,32.0,96.0,352.0,384.0,480.0
params_conv1d_filters_2,403.61290322580646,91.3703681700098,64.0,352.0,416.0,480.0,512.0
params_conv1d_filters_3,300.8,115.08142045236205,128.0,192.0,336.0,400.0,448.0
params_conv1d_filters_4,288.0,122.55066979281128,32.0,288.0,320.0,336.0,416.0
params_conv1d_filters_5,320.0,90.50966799187809,256.0,288.0,320.0,352.0,384.0
params_conv1d_kernel_size_0,4.763440860215054,0.7430525972132384,1.0,5.0,5.0,5.0,5.0
params_conv1d_kernel_size_1,3.817204301075269,0.6417746550054674,1.0,4.0,4.0,4.0,5.0
params_conv1d_kernel_size_2,2.6881720430107525,1.2333984037014925,1.0,2.0,2.0,3.0,5.0
params_conv1d_kernel_size_3,2.9,1.7919573407620815,1.0,1.0,3.0,4.75,5.0
params_conv1d_kernel_size_4,2.2857142857142856,1.1126972805283737,1.0,1.5,2.0,3.0,4.0
params_conv1d_kernel_size_5,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0
params_conv1d_pool_size_0,11.204301075268818,3.4752514447188667,1.0,12.0,13.0,13.0,15.0
params_conv1d_pool_size_1,10.602150537634408,2.707235815310664,1.0,10.0,11.0,12.0,15.0
params_conv1d_pool_size_2,10.763440860215054,3.1807773505119292,1.0,10.0,11.0,13.0,15.0
params_conv1d_pool_size_3,2.7,1.9465068427541912,1.0,1.0,2.0,4.0,6.0
params_conv1d_pool_size_4,2.5714285714285716,1.8126539343499315,1.0,1.0,2.0,4.0,5.0
params_conv1d_pool_size_5,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0
params_extra_dense_0_dropout_0,0.2849462365591398,0.07794401078469279,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.5
params_extra_dense_0_units_0,244.6236559139785,36.4619855580691,50.0,250.0,250.0,250.0,300.0
params_extra_dense_1_dropout_0,0.1494623655913979,0.11384930535196847,0.0,0.1,0.1,0.1,0.5
params_extra_dense_1_units_0,180.10752688172042,40.472605433259844,50.0,150.0,200.0,200.0,250.0
params_lr,0.0005733514326945857,0.001041715166497694,2.1927020380675763e-05,0.0002847331986624156,0.00034376489758774695,0.0004723429642689165,0.00885754901430233
params_num_layers,3.204301075268817,0.6351846664886593,3.0,3.0,3.0,3.0,6.0
