Parameter,Category,Fraction,Count
params_conv1d_activation_0,tanh,0.8578947368421053,163
params_conv1d_activation_0,swish,0.08947368421052632,17
params_conv1d_activation_0,relu,0.031578947368421054,6
params_conv1d_activation_0,sigmoid,0.021052631578947368,4
params_conv1d_activation_1,swish,0.8842105263157894,168
params_conv1d_activation_1,relu,0.05263157894736842,10
params_conv1d_activation_1,tanh,0.03684210526315789,7
params_conv1d_activation_1,sigmoid,0.02631578947368421,5
params_conv1d_activation_2,swish,0.7789473684210526,148
params_conv1d_activation_2,relu,0.14210526315789473,27
params_conv1d_activation_2,sigmoid,0.05263157894736842,10
params_conv1d_activation_2,tanh,0.02631578947368421,5
params_conv1d_activation_3,sigmoid,0.8279569892473119,154
params_conv1d_activation_3,relu,0.10215053763440861,19
params_conv1d_activation_3,swish,0.03763440860215054,7
params_conv1d_activation_3,tanh,0.03225806451612903,6
params_conv1d_activation_4,tanh,0.5,5
params_conv1d_activation_4,swish,0.2,2
params_conv1d_activation_4,relu,0.2,2
params_conv1d_activation_4,sigmoid,0.1,1
params_conv1d_activation_5,sigmoid,0.4,2
params_conv1d_activation_5,tanh,0.2,1
params_conv1d_activation_5,swish,0.2,1
params_conv1d_activation_5,relu,0.2,1
params_conv1d_bn_3,True,0.9516129032258065,177
params_conv1d_bn_3,False,0.04838709677419355,9
params_conv1d_bn_4,False,0.8,8
params_conv1d_bn_4,True,0.2,2
params_conv1d_bn_5,False,0.8,4
params_conv1d_bn_5,True,0.2,1
params_extra_dense_0_activation_0,relu,0.8631578947368421,164
params_extra_dense_0_activation_0,sigmoid,0.08421052631578947,16
params_extra_dense_0_activation_0,swish,0.042105263157894736,8
params_extra_dense_0_activation_0,tanh,0.010526315789473684,2
params_extra_dense_1_activation_0,swish,0.6684210526315789,127
params_extra_dense_1_activation_0,relu,0.21052631578947367,40
params_extra_dense_1_activation_0,sigmoid,0.07894736842105263,15
params_extra_dense_1_activation_0,tanh,0.042105263157894736,8
params_optimizer,Lion,0.9210526315789473,175
params_optimizer,AdamW,0.05789473684210526,11
params_optimizer,RMSprop,0.021052631578947368,4
