Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,445.6,76.24,400,400,470,400,600
params_conv1d_0_kernel_size,9.06,2.81,9,6,12,6,12
params_conv1d_1_filters,300.8,81.31,280,240,400,200,400
params_conv1d_1_kernel_size,4.38,2.72,3,3,5.25,3,12
params_conv1d_2_filters,512.8,90.6,540,400,600,400,600
params_conv1d_2_kernel_size,10.68,2.98,12,12,12,3,12
params_conv1d_3_filters,80.8,25.62,70,70,90,50,141
params_conv1d_3_kernel_size,3.72,1.77,3,3,3,3,6
params_dense_1_dropout,0.16,7.25e-02,0.2,0.1,0.2,0.1,0.3
params_dense_1_units,329,69.32,350,300,350,200,400
params_dense_2_dropout,0.17,7.17e-02,0.2,0.2,0.2,0,0.2
params_dense_2_units,271,48.54,250,250,300,200,350
params_lr,1.05e-04,2.46e-05,1.00e-04,8.73e-05,1.12e-04,8.31e-05,1.55e-04
params_pool_size_0,3.32,0.62,3,3,3,3,5
params_pool_size_1,4.24,0.62,4,4,5,3,5
params_pool_size_2,3.74,0.63,4,3,4,3,5
params_pool_size_3,3.76,0.8,4,3,4,3,5
