"Parameter","Category","Fraction","Count"
params_conv1d_0_act,swish,0.6923,27
params_conv1d_0_act,relu,0.2821,11
params_conv1d_0_act,tanh,0.0256,1
params_conv1d_1_act,tanh,0.7179,28
params_conv1d_1_act,swish,0.1795,7
params_conv1d_1_act,relu,0.1026,4
params_conv1d_2_act,tanh,0.4359,17
params_conv1d_2_act,relu,0.359,14
params_conv1d_2_act,swish,0.2051,8
params_conv1d_3_act,tanh,0.4872,19
params_conv1d_3_act,relu,0.4615,18
params_conv1d_3_act,swish,0.0513,2
params_dense_0_act,tanh,0.9744,38
params_dense_0_act,swish,0.0256,1
params_dense_1_act,tanh,1,36
params_ffn_activation,swish,0.7179,28
params_ffn_activation,relu,0.1538,6
params_ffn_activation,tanh,0.1282,5
