"Parameter","Category","Fraction","Count"
params_conv1d_0_act,relu,0.6351,94
params_conv1d_0_act,tanh,0.1892,28
params_conv1d_0_act,swish,0.1757,26
params_conv1d_1_act,relu,0.5676,84
params_conv1d_1_act,swish,0.2365,35
params_conv1d_1_act,tanh,0.1959,29
params_conv1d_2_act,swish,0.9122,135
params_conv1d_2_act,tanh,0.0541,8
params_conv1d_2_act,relu,0.0338,5
params_conv1d_3_act,tanh,0.7838,116
params_conv1d_3_act,swish,0.1486,22
params_conv1d_3_act,relu,0.0676,10
params_dense_0_act,tanh,0.9301,133
params_dense_0_act,relu,0.042,6
params_dense_0_act,swish,0.028,4
params_dense_1_act,tanh,0.8872,118
params_dense_1_act,relu,0.0677,9
params_dense_1_act,swish,0.0451,6
params_ffn_activation,relu,0.8851,131
params_ffn_activation,swish,0.0946,14
params_ffn_activation,tanh,0.0203,3
