"Parameter","Category","Fraction","Count"
params_conv1d_0_act,relu,0.7037,38
params_conv1d_0_act,swish,0.2407,13
params_conv1d_0_act,tanh,0.0556,3
params_conv1d_1_act,swish,0.5,27
params_conv1d_1_act,relu,0.3148,17
params_conv1d_1_act,tanh,0.1852,10
params_conv1d_2_act,swish,0.5926,32
params_conv1d_2_act,relu,0.2778,15
params_conv1d_2_act,tanh,0.1296,7
params_conv1d_3_act,swish,0.5556,30
params_conv1d_3_act,relu,0.2593,14
params_conv1d_3_act,tanh,0.1852,10
params_dense_0_act,swish,0.5,25
params_dense_0_act,relu,0.46,23
params_dense_0_act,tanh,0.04,2
params_dense_1_act,relu,0.6,3
params_dense_1_act,swish,0.2,1
params_dense_1_act,tanh,0.2,1
