Parameter,Category,Fraction,Count
params_conv1d_0_act,swish,0.9291,118
params_conv1d_0_act,relu,0.063,8
params_conv1d_0_act,tanh,0.0079,1
params_conv1d_1_act,swish,0.9291,118
params_conv1d_1_act,relu,0.0472,6
params_conv1d_1_act,tanh,0.0236,3
params_conv1d_2_act,swish,0.5433,69
params_conv1d_2_act,relu,0.4567,58
params_conv1d_3_act,swish,0.9134,116
params_conv1d_3_act,relu,0.0472,6
params_conv1d_3_act,tanh,0.0394,5
params_dense_0_act,relu,0.6614,84
params_dense_0_act,tanh,0.2126,27
params_dense_0_act,swish,0.126,16
params_dense_1_act,tanh,0.937,119
params_dense_1_act,relu,0.0394,5
params_dense_1_act,swish,0.0236,3
params_dense_2_act,swish,0.6667,2
params_dense_2_act,tanh,0.3333,1
params_se_0_se_act_expand,tanh,0.8031,102
params_se_0_se_act_expand,swish,0.1417,18
params_se_0_se_act_expand,relu,0.0551,7
params_se_0_se_act_reduce,relu,0.4646,59
params_se_0_se_act_reduce,tanh,0.3858,49
params_se_0_se_act_reduce,swish,0.1496,19
params_se_1_se_act_expand,tanh,0.8346,106
params_se_1_se_act_expand,relu,0.1102,14
params_se_1_se_act_expand,swish,0.0551,7
params_se_1_se_act_reduce,tanh,0.7087,90
params_se_1_se_act_reduce,relu,0.1732,22
params_se_1_se_act_reduce,swish,0.1181,15
params_se_3_se_act_expand,swish,0.9055,115
params_se_3_se_act_expand,relu,0.0551,7
params_se_3_se_act_expand,tanh,0.0394,5
params_se_3_se_act_reduce,relu,0.622,79
params_se_3_se_act_reduce,swish,0.2205,28
params_se_3_se_act_reduce,tanh,0.1575,20
