Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_filters_0,409.37931034482756,66.4553629960439,160.0,384.0,416.0,448.0,512.0
params_conv1d_filters_1,169.93103448275863,88.92128583129927,96.0,128.0,160.0,160.0,512.0
params_conv1d_filters_2,342.0689655172414,79.8185133530538,96.0,320.0,352.0,384.0,480.0
params_conv1d_filters_3,454.85714285714283,64.21129142985639,288.0,448.0,480.0,488.0,512.0
params_conv1d_filters_4,122.28571428571429,124.40997254979712,32.0,32.0,96.0,128.0,512.0
params_conv1d_filters_5,216.0,94.85739784500693,64.0,160.0,192.0,256.0,480.0
params_conv1d_kernel_size_0,2.586206896551724,0.9070061182385526,2.0,2.0,2.0,3.0,5.0
params_conv1d_kernel_size_1,2.4482758620689653,0.572351471472339,2.0,2.0,2.0,3.0,4.0
params_conv1d_kernel_size_2,3.793103448275862,0.7736421443326913,1.0,4.0,4.0,4.0,5.0
params_conv1d_kernel_size_3,1.4285714285714286,0.8357108940373451,1.0,1.0,1.0,1.0,3.0
params_conv1d_kernel_size_4,2.8214285714285716,1.2187902754164621,1.0,2.0,3.0,4.0,5.0
params_conv1d_kernel_size_5,3.6785714285714284,1.2488089563755578,1.0,3.0,4.0,5.0,5.0
params_conv1d_pool_size_0,1.0689655172413792,0.25788071477756375,1.0,1.0,1.0,1.0,2.0
params_conv1d_pool_size_1,1.1724137931034482,0.38442587221924474,1.0,1.0,1.0,1.0,2.0
params_conv1d_pool_size_2,1.3103448275862069,1.3121260903005059,1.0,1.0,1.0,1.0,8.0
params_conv1d_pool_size_3,2.0,0.0,2.0,2.0,2.0,2.0,2.0
params_conv1d_pool_size_4,1.9642857142857142,0.18898223650461363,1.0,2.0,2.0,2.0,2.0
params_conv1d_pool_size_5,1.9642857142857142,0.18898223650461363,1.0,2.0,2.0,2.0,2.0
params_extra_dense_0_dropout_0,0.12068965517241381,0.08185051856379749,0.0,0.1,0.1,0.1,0.5
params_extra_dense_0_units_0,236.20689655172413,44.111368238604584,100.0,250.0,250.0,250.0,300.0
params_extra_dense_1_dropout_0,0.2689655172413793,0.09298021400838105,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.4
params_extra_dense_1_units_0,160.3448275862069,33.75148236116978,100.0,150.0,150.0,150.0,250.0
params_lr,0.004344815924011037,0.002372371220274891,0.00018124833531150375,0.0021169304968815827,0.004530309240272899,0.006146347155315487,0.008647386448166277
params_num_layers,5.896551724137931,0.5570860145311556,3.0,6.0,6.0,6.0,6.0
