Parameter,Category,Fraction,Count
params_adjacency_type,knn,1.0,26
params_cheb_0_activation,tanh,1.0,1
params_cheb_1_activation,relu,0.8,20
params_cheb_1_activation,tanh,0.12,3
params_cheb_1_activation,swish,0.08,2
params_dense_0_act,tanh,0.8846,23
params_dense_0_act,swish,0.0769,2
params_dense_0_act,None,0.0385,1
params_dense_1_act,tanh,0.8846,23
params_dense_1_act,swish,0.1154,3
params_dense_2_act,tanh,1.0,24
params_gcn_0_activation,swish,0.88,22
params_gcn_0_activation,None,0.12,3
params_layer_0_type,gcn,0.9615,25
params_layer_0_type,cheb,0.0385,1
params_layer_1_type,cheb,0.9615,25
params_layer_1_type,none,0.0385,1
params_layer_2_type,none,1.0,2
