Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_K,4.03,1.09,4,4,5,2,5
params_cheb_0_dropout,0.31,0.17,0.3,0.2,0.4,0,0.5
params_cheb_0_units,140.14,65.36,160,64,192,64,224
params_cheb_1_K,3.95,1.09,4,3,5,2,5
params_cheb_1_dropout,0.16,0.11,0.1,0.1,0.2,5.00e-03,0.3
params_cheb_1_units,144,57.37,144,96,192,64,224
params_cheb_2_K,3.14,1.35,3,2,4,2,5
params_cheb_2_dropout,0.21,0.2,0.1,0.1,0.3,0.1,0.5
params_cheb_2_units,123.43,50.35,128,96,128,73.6,195.2
params_cheb_3_K,3.5,2.12,3.5,2.75,4.25,2.15,4.85
params_cheb_3_dropout,0.1,0.14,0.1,5.00e-02,0.15,1.00e-02,0.19
params_cheb_3_units,112,67.88,112,88,136,68.8,155.2
params_dense_0_dropout,0.24,0.17,0.2,0,0.4,0,0.4
params_dense_0_units,358,47.17,350,350,400,260,400
params_dense_1_dropout,0.15,0.13,0.2,0,0.2,0,0.39
params_dense_1_units,304.55,65.3,250,250,350,250,400
params_dense_2_dropout,0,0,0,0,0,0,0
params_dense_2_units,317.86,50.41,300,300,337.5,250,400
params_knn_k,9.93,4.97,8,4,16,4,16
params_lr,6.19e-05,1.56e-05,6.50e-05,4.67e-05,7.71e-05,3.94e-05,7.99e-05
params_num_dense_layers,2.1,1.08,2,2,3,0,3
params_num_gnn_layers,2.07,0.84,2,2,2,1,3.6
params_proj_dense_units,586.21,333.51,700,300,900,100,1000
params_se_cheb_0_se_ratio,22.9,20.37,16,8,32,8,64
params_se_cheb_1_se_ratio,42.55,25.1,64,16,64,8,64
params_se_cheb_2_se_ratio,44.57,25.24,64,24,64,10.4,64
params_se_cheb_3_se_ratio,12,5.66,12,10,14,8.4,15.6
params_se_proj_dense_se_ratio,37.24,18.18,32,32,64,16,64
