Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_K,3.96,0.3,4,4,4,4,4
params_cheb_0_dropout,0.2,0.11,0.2,0.2,0.2,0,0.4
params_cheb_0_units,202.67,31.97,192,192,224,128,256
params_cheb_1_K,4.83,0.53,5,5,5,3,5
params_cheb_1_dropout,7.69e-02,0.1,0.1,0,0.1,0,0.3
params_cheb_1_units,225.03,38.54,224,224,256,160,256
params_cheb_2_K,3.67,1.03,4,3.25,4,2.25,4.75
params_cheb_2_dropout,0.37,0.1,0.4,0.33,0.4,0.23,0.48
params_cheb_2_units,181.33,59.58,192,144,216,104,248
params_conv1d_0_filters,382.36,128.4,256,256,512,256,512
params_conv1d_1_filters,283.9,80.03,256,256,256,256,512
params_conv1d_2_filters,133.33,126.33,64,64,256,64,512
params_conv1d_2_kernel_size,5.01,0.24,5,5,5,5,5
params_conv1d_3_filters,201.85,63.44,256,128,256,128,256
params_dense_0_dropout,0.2,0.14,0.2,0.2,0.35,0,0.4
params_dense_0_units,388.96,30.38,400,400,400,300,400
params_dense_1_dropout,0.19,3.22e-02,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,376.16,32.06,400,350,400,300,400
params_dense_2_dropout,0.37,7.89e-02,0.4,0.4,0.4,0.2,0.4
params_dense_2_units,349.32,52.66,400,300,400,300,400
params_knn_k,11.72,1.58,12,12,12,8,12
params_lr,7.35e-05,5.99e-06,7.46e-05,7.21e-05,7.75e-05,6.00e-05,7.99e-05
params_num_dense_layers,2.9,0.46,3,3,3,2,3
params_num_gnn_layers,2.04,0.19,2,2,2,2,2
params_se_0_se_ratio,38.41,23.93,16,16,64,16,64
params_se_1_se_ratio,35.79,26.31,32,8,64,8,64
params_se_3_se_ratio,28.31,24.31,16,8,64,8,64
params_se_cheb_0_se_ratio,32.51,19.88,32,16,32,8,64
params_se_cheb_1_se_ratio,21.59,15.27,16,8,32,8,40
params_se_cheb_2_se_ratio,18.67,10.93,16,10,28,8,32
