"Parameter","Category","Fraction","Count"
params_conv1d_layer_0_act,sigmoid,0.5152,34
params_conv1d_layer_0_act,relu,0.3333,22
params_conv1d_layer_0_act,tanh,0.1364,9
params_conv1d_layer_0_act,swish,0.0152,1
params_conv1d_layer_1_act,swish,0.5909,39
params_conv1d_layer_1_act,sigmoid,0.2576,17
params_conv1d_layer_1_act,tanh,0.0758,5
params_conv1d_layer_1_act,relu,0.0758,5
params_conv1d_layer_2_act,relu,0.6515,43
params_conv1d_layer_2_act,swish,0.2273,15
params_conv1d_layer_2_act,tanh,0.0909,6
params_conv1d_layer_2_act,sigmoid,0.0303,2
params_conv1d_layer_3_act,tanh,0.4848,32
params_conv1d_layer_3_act,swish,0.3485,23
params_conv1d_layer_3_act,relu,0.0909,6
params_conv1d_layer_3_act,sigmoid,0.0758,5
params_dense_as_conv1d_after_concat_act,relu,0.3529,6
params_dense_as_conv1d_after_concat_act,swish,0.2941,5
params_dense_as_conv1d_after_concat_act,sigmoid,0.1765,3
params_dense_as_conv1d_after_concat_act,tanh,0.1765,3
params_dense_as_conv1d_layer_0_act,relu,0.5758,38
params_dense_as_conv1d_layer_0_act,tanh,0.2273,15
params_dense_as_conv1d_layer_0_act,swish,0.1818,12
params_dense_as_conv1d_layer_0_act,sigmoid,0.0152,1
params_dense_as_conv1d_layer_1_act,relu,0.5,28
params_dense_as_conv1d_layer_1_act,sigmoid,0.4107,23
params_dense_as_conv1d_layer_1_act,swish,0.0536,3
params_dense_as_conv1d_layer_1_act,tanh,0.0357,2
params_dense_as_conv1d_layer_2_act,tanh,0.4634,19
params_dense_as_conv1d_layer_2_act,swish,0.2439,10
params_dense_as_conv1d_layer_2_act,relu,0.1707,7
params_dense_as_conv1d_layer_2_act,sigmoid,0.122,5
params_output_strategy,global_average_pooling,0.5303,35
params_output_strategy,max_pooling_concat,0.2576,17
params_output_strategy,flatten,0.2121,14
