Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_layer_0_filters,59.09090909090909,30.368367790149048,10.0,30.0,60.0,90.0,100.0
params_conv1d_layer_0_kernel_size,2.5606060606060606,1.6927791248420938,1.0,1.0,2.0,4.75,5.0
params_conv1d_layer_1_filters,50.60606060606061,33.23014330758181,10.0,20.0,45.0,80.0,100.0
params_conv1d_layer_1_kernel_size,3.1515151515151514,1.5114173098063566,1.0,2.0,3.0,5.0,5.0
params_conv1d_layer_2_filters,45.15151515151515,25.43422432274605,10.0,20.0,45.0,60.0,100.0
params_conv1d_layer_2_kernel_size,1.9090909090909092,1.1331002091236608,1.0,1.0,2.0,2.0,5.0
params_conv1d_layer_3_filters,62.72727272727273,31.93962836571303,10.0,32.5,70.0,90.0,100.0
params_conv1d_layer_3_kernel_size,2.878787878787879,1.2091338478450855,1.0,2.0,3.0,4.0,5.0
params_dense_as_conv1d_after_concat_filters,115.29411764705883,53.164561394177746,40.0,80.0,120.0,160.0,200.0
params_dense_as_conv1d_layer_0_filters,743.939393939394,226.42967179766055,50.0,600.0,825.0,900.0,1000.0
params_dense_as_conv1d_layer_1_filters,466.07142857142856,286.8492069580593,50.0,237.5,425.0,650.0,1000.0
params_dense_as_conv1d_layer_2_filters,446.3414634146341,260.8616117557447,50.0,250.0,350.0,650.0,1000.0
params_lr,0.00023896251562974258,0.00030422705346123795,1.045179327448853e-06,2.5352408758301127e-05,6.687813630836323e-05,0.0004762927804234819,0.0009993296017743276
params_max_dense_layers,2.4696969696969697,0.7487363091276265,1.0,2.0,3.0,3.0,3.0
params_max_pool_size,26.071428571428573,12.736768613948938,5.0,20.0,27.5,38.75,40.0
params_max_pool_size_concat,3.0,0.8660254037844386,2.0,2.0,3.0,3.0,5.0
params_strides_layer_0,1.0606060606060606,0.24043472671155017,1.0,1.0,1.0,1.0,2.0
params_strides_layer_1,1.4848484848484849,0.5036000929438492,1.0,1.0,1.0,2.0,2.0
params_strides_layer_2,1.4848484848484849,0.5036000929438493,1.0,1.0,1.0,2.0,2.0
params_strides_layer_3,1.0151515151515151,0.12309149097933271,1.0,1.0,1.0,1.0,2.0
