Parameter,Category,Fraction,Count
params_conv1d_0_act,swish,0.4507042253521127,32
params_conv1d_0_act,tanh,0.36619718309859156,26
params_conv1d_0_act,sigmoid,0.18309859154929578,13
params_conv1d_1_act,tanh,0.5774647887323944,41
params_conv1d_1_act,swish,0.2112676056338028,15
params_conv1d_1_act,sigmoid,0.2112676056338028,15
params_conv1d_2_act,sigmoid,0.4358974358974359,17
params_conv1d_2_act,swish,0.38461538461538464,15
params_conv1d_2_act,tanh,0.1794871794871795,7
params_conv1d_3_act,sigmoid,0.42424242424242425,14
params_conv1d_3_act,swish,0.30303030303030304,10
params_conv1d_3_act,tanh,0.2727272727272727,9
params_conv1d_4_act,tanh,0.5652173913043478,13
params_conv1d_4_act,sigmoid,0.30434782608695654,7
params_conv1d_4_act,swish,0.13043478260869565,3
params_conv1d_5_act,tanh,0.5833333333333334,7
params_conv1d_5_act,swish,0.25,3
params_conv1d_5_act,sigmoid,0.16666666666666666,2
params_conv1d_6_act,swish,0.5,3
params_conv1d_6_act,tanh,0.3333333333333333,2
params_conv1d_6_act,sigmoid,0.16666666666666666,1
params_conv1d_7_act,tanh,0.3333333333333333,1
params_conv1d_7_act,swish,0.3333333333333333,1
params_conv1d_7_act,sigmoid,0.3333333333333333,1
params_dense_0_act,sigmoid,0.8846153846153846,46
params_dense_0_act,swish,0.057692307692307696,3
params_dense_0_act,tanh,0.057692307692307696,3
params_dense_1_act,tanh,0.6538461538461539,17
params_dense_1_act,sigmoid,0.23076923076923078,6
params_dense_1_act,swish,0.11538461538461539,3
params_dense_as_conv1d_after_concat_act,swish,0.6666666666666666,8
params_dense_as_conv1d_after_concat_act,sigmoid,0.16666666666666666,2
params_dense_as_conv1d_after_concat_act,tanh,0.16666666666666666,2
params_output_strategy,flatten,0.5774647887323944,41
params_output_strategy,global_average_pooling,0.2535211267605634,18
params_output_strategy,max_pooling_concat,0.16901408450704225,12
