Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_0_filters,151.17241379310346,141.56768115801484,32.0,64.0,64.0,256.0,512.0
params_conv1d_0_kernel_size,3.0172413793103448,0.13130643285972254,3.0,3.0,3.0,3.0,4.0
params_conv1d_1_filters,366.3448275862069,173.64134762306963,128.0,128.0,512.0,512.0,512.0
params_conv1d_1_kernel_size,3.0,0.0,3.0,3.0,3.0,3.0,3.0
params_conv1d_2_filters,277.51724137931035,192.31673813710313,32.0,128.0,128.0,512.0,512.0
params_conv1d_2_kernel_size,3.7241379310344827,0.48821563571545706,3.0,3.0,4.0,4.0,5.0
params_conv1d_3_filters,433.6551724137931,160.63563998199743,32.0,512.0,512.0,512.0,512.0
params_conv1d_3_kernel_size,2.0,0.3244428422615251,1.0,2.0,2.0,2.0,4.0
params_conv1d_4_filters,471.57894736842104,94.17820254489074,256.0,512.0,512.0,512.0,512.0
params_conv1d_4_kernel_size,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_conv1d_5_filters,128.0,,128.0,128.0,128.0,128.0,128.0
params_conv1d_5_kernel_size,2.0,,2.0,2.0,2.0,2.0,2.0
params_conv1d_6_filters,32.0,,32.0,32.0,32.0,32.0,32.0
params_conv1d_6_kernel_size,1.0,,1.0,1.0,1.0,1.0,1.0
params_conv1d_7_filters,128.0,,128.0,128.0,128.0,128.0,128.0
params_conv1d_7_kernel_size,5.0,,5.0,5.0,5.0,5.0,5.0
params_conv_layers,5.0344827586206895,0.4174070856323789,4.0,5.0,5.0,5.0,8.0
params_dense_0_dropout,0.3999999999999999,0.018731716231633874,0.30000000000000004,0.4,0.4,0.4,0.5
params_dense_0_units,201.72413793103448,13.130643285972258,200.0,200.0,200.0,200.0,300.0
params_dense_1_dropout,0.1379310344827586,0.0556542780843172,0.1,0.1,0.1,0.2,0.30000000000000004
params_dense_1_units,186.20689655172413,48.47960635468176,150.0,150.0,150.0,250.0,250.0
params_dense_conv1x1_0_filters,,,,,,,
params_dense_conv1x1_1_filters,,,,,,,
params_lr,8.575999922059207e-05,2.1483544506670012e-05,3.702575672851934e-05,7.05242198018001e-05,8.411232171323262e-05,9.932877804371765e-05,0.00013801425735375964
params_pool_size_0,3.9655172413793105,0.2626128657194451,2.0,4.0,4.0,4.0,4.0
params_pool_size_1,3.293103448275862,0.530098325525315,2.0,3.0,3.0,4.0,4.0
params_pool_size_2,3.9482758620689653,0.2915424072011005,2.0,4.0,4.0,4.0,4.0
params_pool_size_3,3.103448275862069,0.4844839965279679,2.0,3.0,3.0,3.0,5.0
params_pool_size_4,4.947368421052632,0.39735970711951324,2.0,5.0,5.0,5.0,5.0
params_pool_size_5,2.0,,2.0,2.0,2.0,2.0,2.0
params_pool_size_6,2.0,,2.0,2.0,2.0,2.0,2.0
params_pool_size_7,2.0,,2.0,2.0,2.0,2.0,2.0
