Parameter,Category,Fraction,Count
params_conv1d_0_act,tanh,0.7945205479452054,232
params_conv1d_0_act,sigmoid,0.1678082191780822,49
params_conv1d_0_act,swish,0.03767123287671233,11
params_conv1d_1_act,swish,0.6404109589041096,187
params_conv1d_1_act,sigmoid,0.21575342465753425,63
params_conv1d_1_act,tanh,0.14383561643835616,42
params_conv1d_2_act,swish,0.934931506849315,273
params_conv1d_2_act,tanh,0.03767123287671233,11
params_conv1d_2_act,sigmoid,0.0273972602739726,8
params_conv1d_3_act,tanh,0.9315068493150684,272
params_conv1d_3_act,sigmoid,0.03424657534246575,10
params_conv1d_3_act,swish,0.03424657534246575,10
params_conv1d_4_act,swish,0.9655172413793104,280
params_conv1d_4_act,tanh,0.020689655172413793,6
params_conv1d_4_act,sigmoid,0.013793103448275862,4
params_conv1d_5_act,tanh,0.7272727272727273,32
params_conv1d_5_act,swish,0.18181818181818182,8
params_conv1d_5_act,sigmoid,0.09090909090909091,4
params_conv1d_6_act,swish,0.7631578947368421,29
params_conv1d_6_act,tanh,0.13157894736842105,5
params_conv1d_6_act,sigmoid,0.10526315789473684,4
params_conv1d_7_act,sigmoid,0.4,2
params_conv1d_7_act,swish,0.4,2
params_conv1d_7_act,tanh,0.2,1
params_dense_0_act,swish,0.9653846153846154,251
params_dense_0_act,tanh,0.023076923076923078,6
params_dense_0_act,sigmoid,0.011538461538461539,3
params_dense_1_act,tanh,0.7923076923076923,206
params_dense_1_act,swish,0.19230769230769232,50
params_dense_1_act,sigmoid,0.015384615384615385,4
params_dense_conv1x1_0_act,swish,0.8125,26
params_dense_conv1x1_0_act,tanh,0.15625,5
params_dense_conv1x1_0_act,sigmoid,0.03125,1
params_dense_conv1x1_1_act,tanh,0.78125,25
params_dense_conv1x1_1_act,sigmoid,0.15625,5
params_dense_conv1x1_1_act,swish,0.0625,2
params_dense_layer_type,dense,0.8904109589041096,260
params_dense_layer_type,conv1x1,0.1095890410958904,32
params_output_strategy,flatten,0.9961538461538462,259
params_output_strategy,global_average_pooling,0.0038461538461538464,1
