Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,67.3103448275862,14.214956175491997,64.0,64.0,64.0,64.0,128.0
params_conv1d_0_filters,203.77011494252875,85.96352246276537,128.0,128.0,256.0,256.0,512.0
params_conv1d_0_kernel_size,3.3045977011494254,1.822873805935185,1.0,2.0,3.0,4.0,8.0
params_conv1d_1_filters,222.16091954022988,77.7553408478378,128.0,128.0,256.0,256.0,512.0
params_conv1d_1_kernel_size,4.804597701149425,2.5116564345691477,1.0,3.0,4.0,8.0,10.0
params_conv1d_2_filters,454.62068965517244,135.20861563848004,128.0,512.0,512.0,512.0,512.0
params_conv1d_2_kernel_size,7.247126436781609,1.5588152519467087,3.0,6.0,7.0,8.0,10.0
params_conv1d_3_filters,139.77011494252875,50.12393914220252,128.0,128.0,128.0,128.0,512.0
params_conv1d_3_kernel_size,3.4770114942528734,1.5194462901889134,1.0,3.0,3.0,4.0,9.0
params_dense_0_dropout,0.018965517241379314,0.07400256959698326,0.0,0.0,0.0,0.0,0.5
params_dense_0_units,248.27586206896552,16.91234775180474,150.0,250.0,250.0,250.0,300.0
params_dense_1_dropout,0.45229885057471264,0.08024818654497988,0.0,0.4,0.5,0.5,0.5
params_dense_1_units,230.7471264367816,38.99035552626888,150.0,200.0,200.0,250.0,300.0
params_lr,7.684956984057339e-05,6.194708555246916e-05,1.7733968226792562e-06,5.3449900898952196e-05,6.79954294879045e-05,8.748865595866266e-05,0.0006364994900386131
params_pool_size_0,2.3908045977011496,0.9837561829504248,2.0,2.0,2.0,2.0,7.0
params_pool_size_1,4.022988505747127,1.142727813330212,2.0,3.0,4.0,5.0,7.0
params_pool_size_2,3.586206896551724,1.2264118831923472,2.0,2.0,4.0,4.0,7.0
params_pool_size_3,3.971264367816092,0.8697096779531202,2.0,4.0,4.0,4.0,7.0
