Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_batch_size,72.89,22.29,64,64,64,64,128
params_conv1d_0_filters,398.22,128.1,512,256,512,256,512
params_conv1d_0_kernel_size,2.22,0.72,2,2,2,2,4
params_conv1d_1_filters,133.33,45.25,128,128,128,128,128
params_conv1d_1_kernel_size,2.21,0.8,2,2,2,2,4
params_conv1d_2_filters,142.22,55.0,128,128,128,128,256
params_conv1d_2_kernel_size,4.07,0.31,4,4,4,4,4.45
params_conv1d_3_filters,99.56,108.42,64,64,64,64,371.2
params_conv1d_3_kernel_size,2.43,0.92,2,2,2,2,4.45
params_dense_2_units,269.17,10.04,270,270,270,260,280
params_lr,5.07e-05,8.31e-05,3.72e-05,3.11e-05,4.52e-05,2.24e-05,5.65e-05
params_pool_size_0,2.01,0.12,2,2,2,2,2
params_pool_size_1,2.15,0.57,2,2,2,2,4
params_pool_size_2,3.15,0.4,3,3,3,3,4
params_pool_size_3,3.01,0.27,3,3,3,3,3
