"Parameter","Category","Fraction","Count"
params_extra_activation_layer_0,relu,0.8075221238938053,365
params_extra_activation_layer_0,sigmoid,0.13495575221238937,61
params_extra_activation_layer_0,tanh,0.05752212389380531,26
params_extra_activation_layer_1,tanh,0.7272727272727273,8
params_extra_activation_layer_1,relu,0.18181818181818182,2
params_extra_activation_layer_1,sigmoid,0.09090909090909091,1
params_lidar_activation_layer_0,relu,0.7640750670241286,570
params_lidar_activation_layer_0,tanh,0.1193029490616622,89
params_lidar_activation_layer_0,sigmoid,0.11662198391420911,87
params_lidar_activation_layer_1,tanh,0.8175582990397805,596
params_lidar_activation_layer_1,relu,0.09327846364883402,68
params_lidar_activation_layer_1,sigmoid,0.08916323731138547,65
params_lidar_activation_layer_2,relu,0.5918367346938775,29
params_lidar_activation_layer_2,tanh,0.20408163265306123,10
params_lidar_activation_layer_2,sigmoid,0.20408163265306123,10
