"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,103.27272727272727,68.70013894388491,32,64,64,128,256
params_extra_decay_factor,0.38482142857142854,0.16286280161317426,0.1,0.30000000000000004,0.4,0.42500000000000004,0.9
params_extra_dropout_layer_0,0.15,0.11776215235932931,0,0.1,0.1,0.2,0.5
params_extra_dropout_layer_1,0.2,,0.2,0.2,0.2,0.2,0.2
params_extra_layers,1.0267857142857142,0.16218227031056384,1,1,1,1,2
params_extra_units_layer_0,204.42857142857142,55.91075808833994,16,192,224,240,256
params_learning_rate,0.0016973962969835089,0.0019247245915438352,0.00001163351845570184,0.00043071404986771777,0.0009902362241474352,0.0021499685895015703,0.00938629145702238
params_lidar_filter_decay_factor,0.740268456375839,0.17511365540439044,0.4,0.6000000000000001,0.8,0.9,0.9
params_lidar_filters_layer_0,362.73825503355704,138.4447102038247,128,256,384,496,512
params_lidar_kernel_decay_factor,0.48724832214765096,0.11287914525268429,0.1,0.4,0.5,0.6,0.7
params_lidar_kernel_height_0,1.6778523489932886,1.1105663053561539,1,1,1,2,5
params_lidar_kernel_height_1,1.8150684931506849,0.5119728529647701,1,2,2,2,3
params_lidar_kernel_height_2,1.3,0.4830458915396479,1,1,1,1.75,2
params_lidar_kernel_width_0,4.140939597315437,1.0268038460284201,1,4,4,5,5
params_lidar_kernel_width_1,1.8424657534246576,0.4797751795966676,1,2,2,2,3
params_lidar_kernel_width_2,1.3,0.4830458915396479,1,1,1,1.75,2
params_lidar_layers,2.046979865771812,0.2926018064869752,1,2,2,2,3
params_pool_dim1,1.1275167785234899,0.33467593450306216,1,1,1,1,2
params_pool_dim2,4.053691275167785,1.3140880863319548,2,3,5,5,6
