Parameter,Category,Fraction,Count
params_add_extra_dnn,True,0.9636363636363636,53
params_add_extra_dnn,False,0.03636363636363636,2
params_cnn_activation_layer_0,tanh,0.8181818181818182,45
params_cnn_activation_layer_0,relu,0.18181818181818182,10
params_cnn_activation_layer_1,tanh,0.8181818181818182,45
params_cnn_activation_layer_1,relu,0.18181818181818182,10
params_cnn_activation_layer_2,tanh,0.4727272727272727,26
params_cnn_activation_layer_2,sigmoid,0.4,22
params_cnn_activation_layer_2,relu,0.12727272727272726,7
params_cnn_activation_layer_3,tanh,0.9636363636363636,53
params_cnn_activation_layer_3,relu,0.03636363636363636,2
params_extra_activation_layer_0,tanh,0.9433962264150944,50
params_extra_activation_layer_0,relu,0.03773584905660377,2
params_extra_activation_layer_0,sigmoid,0.018867924528301886,1
